Type_detail;N_events
CARDIOCIRCOLATORIA;46837
SUOLO;27058
RESPIRATORIA;18433
NEUROLOGICA;13934
DIGERENTE;13169
AUTO AUTO;9640
OSTEO MUSCOLARE;7999
_NULL (DATO NON INSERITO);6930
ALTRO NON IDENTIFICA;4906
URO-GENITALE;4273
ALTRO NON CLASSIFICA;4257
PSICHIATRICA;3970
AGGRESSIONE;3711
INFETTIVA;3585
ETILICA;3366
AUTO MOTO;2221
GRAVIDANZA PARTO;1770
INVESTIMENTO PEDONE;1762
FERITA;1643
ABITAZIONE;1593
SCALA;1520
METABOLICA;1439
INVESTIMENTO CICLIST;1371
NEOPLASTICA;1298
CADUTA DA BICI;1249
ALTRO;1136
CONTRO OSTACOLO;972
PIU DI DUE VEICOLI;867
FARMACI;757
CADUTA DA MOTO;725
MEZZO PESANTE;712
ORECCHIO NASO GOLA;704
RIBALTAMENTO;677
SOSTANZE PERICOLOSE;673
SCONTRO DI GIOCO;653
CUTE TESSUTO CONNETT;647
FUORI STRADA;543
IPERPIRESSIA;478
RISSA;360
COMPETENZA;325
SPORTIVO;273
TSO - ASO;248
DOMESTICO;246
SCHIACCIAMENTO;212
LAVORATIVO;203
MORSO;201
PUNTURA;199
MODALITA NON NOTA;198
ALTRO NOTE;192
OCULISTICA/ORL;189
INCENDIO;182
ASCENSORE;166
LITE;152
NON NOTO;144
USTIONE;136
PRECIPITATO;114
ALIMENTARE;108
SOSTANZE PSICOTROPE;104
AUTOLESIONISMO;98
IMPICCAMENTO;91
MICRO MOB. ELETTRICA;84
VEICOLO FERMO;70
STEN;64
ARMA BIANCA;53
AUSILIO;48
AUTOVETTURA;41
RIALLETTAMENTO;41
AMPUTAZIONE;38
ASSIST. VV.F.;30
APPARTAMENTO;30
GAS / FUMI;22
MANCANZA RISORSE LOC;21
ESPLOSIONE;20
DA CAVALLO;20
INDISP. POSTI LETTO;19
SPARATORIA;17
EDIFICIO;17
FOLGORATO;14
MOTO MOTO;13
ACCER. CONSULENZA;13
URG. TEMPO DIPENTE;13
PRECIPITAZIONE;11
ASSIST. FF.O.;9
VEICOLO;9
ARROTAMENTO PERSONA;6
EVENTI DI MASSA;6
AGRICOLO;6
INTOSSICAZIONE;6
INCASTRATO;5
ANNEGAMENTO;4
CROLLO;4
RIENTRO ABITAZIONE;4
LUOG CONFINATO;4
ULTRALEGGERO;3
LUOGO PUBBLICO;3
STAM;3
CAPANNONE;3
FUGA GAS;2
ARROTAMENTO VEICOLO;2
VELA;2
VILLETTA;2
SERVIZIO SOCIALE;2
SOMMERSIONE;2
PER TRAPIANTO;1
RICEVENTE ORGANO;1
FRANA;1
MANIFESTAZIONE;1
GHIACCIO / NEVE;1
ARROTAMENTO;1
