PROV;MUNICIPALITY;N_respiratory_events
BS;BRESCIA;10257
BS;REZZATO;766
CR;SORESINA;683
BS;GUSSAGO;552
BS;CONCESIO;499
BS;PONTEVICO;446
BS;NAVE;430
BS;RONCADELLE;377
BS;CASTENEDOLO;369
BS;BOTTICINO;348
BS;BORGOSATOLLO;308
BS;CASTEL MELLA;308
BS;FLERO;282
CR;CASTELVERDE;269
BS;QUINZANO D'OGLIO;242
BS;BOVEZZO;228
BS;COLLEBEATO;221
CR;CASALBUTTANO ED UNITI;191
BS;TORBOLE CASAGLIA;165
BS;CELLATICA;151
BS;BORGO SAN GIACOMO;143
BS;SAN ZENO NAVIGLIO;131
CR;ANNICCO;115
BS;VEROLAVECCHIA;106
CR;CASALMORANO;100
CR;ROBECCO D'OGLIO;92
CR;PERSICO DOSIMO;79
CR;PADERNO PONCHIELLI;68
BS;VILLACHIARA;54
CR;GENIVOLTA;38
CR;OLMENETA;37
CR;AZZANELLO;36
CR;CORTE DE' FRATI;34
CR;POZZAGLIO ED UNITI;34
CR;CORTE DE' CORTESI CON CIGNONE;26
CR;BORDOLANO;20
CR;CASTELVISCONTI;11
BS;PONCARALE;3
BS;MAZZANO;2
BS;CASTEGNATO;1
BS;MONTIRONE;1
CR;CREMONA;1
