Year;Area;Outcome;N_events;Population;Rate_per_10000
2016;Industrial;Respiratory;2152;338383;63.59657547808253
2016;Industrial;Cardiocirculatory;6246;338383;184.58374090897001
2016;Agricultural;Respiratory;433;60892;71.10950535374104
2016;Agricultural;Cardiocirculatory;1010;60892;165.86743743020432
2017;Industrial;Respiratory;2514;338533;74.26159340448346
2017;Industrial;Cardiocirculatory;6721;338533;198.53308244691064
2017;Agricultural;Respiratory;438;60562;72.3225785145801
2017;Agricultural;Cardiocirculatory;1075;60562;177.50404544103563
2018;Industrial;Respiratory;2507;338804;73.99558446771584
2018;Industrial;Cardiocirculatory;6967;338804;205.63511646851867
2018;Agricultural;Respiratory;466;60224;77.37778958554729
2018;Agricultural;Cardiocirculatory;1053;60224;174.8472369819341
2019;Industrial;Respiratory;2984;340591;87.61241489058723
2019;Industrial;Cardiocirculatory;6419;340591;188.46651849285504
2019;Agricultural;Respiratory;489;60103;81.36033143104338
2019;Agricultural;Cardiocirculatory;1093;60103;181.854483137281
2023;Industrial;Respiratory;3195;341484;93.56221667779457
2023;Industrial;Cardiocirculatory;6980;341484;204.40196319593304
2023;Agricultural;Respiratory;565;59596;94.80502047117257
2023;Agricultural;Cardiocirculatory;1094;59596;183.56936707161555
