MonthPeriod;Area;Outcome;N_events;Year;Month;Population;Rate_per_10000
2016-01-01;Industrial;Respiratory;223;2016;1;338383;6.5901655816042775
2016-01-01;Industrial;Cardiocirculatory;553;2016;1;338383;16.3424285498976
2016-01-01;Agricultural;Respiratory;50;2016;1;60892;8.211259278722986
2016-01-01;Agricultural;Cardiocirculatory;95;2016;1;60892;15.601392629573672
2016-02-01;Industrial;Respiratory;204;2016;2;338383;6.028671653126782
2016-02-01;Industrial;Cardiocirculatory;569;2016;2;338383;16.815265542299702
2016-02-01;Agricultural;Respiratory;52;2016;2;60892;8.539709649871904
2016-02-01;Agricultural;Cardiocirculatory;88;2016;2;60892;14.451816330552454
2016-03-01;Industrial;Respiratory;198;2016;3;338383;5.851357780975994
2016-03-01;Industrial;Cardiocirculatory;516;2016;3;338383;15.248993004967742
2016-03-01;Agricultural;Respiratory;36;2016;3;60892;5.912106680680549
2016-03-01;Agricultural;Cardiocirculatory;96;2016;3;60892;15.765617815148131
2016-04-01;Industrial;Respiratory;191;2016;4;338383;5.6444915968000755
2016-04-01;Industrial;Cardiocirculatory;464;2016;4;338383;13.712272779660916
2016-04-01;Agricultural;Respiratory;25;2016;4;60892;4.105629639361493
2016-04-01;Agricultural;Cardiocirculatory;70;2016;4;60892;11.49576299021218
2016-05-01;Industrial;Respiratory;157;2016;5;338383;4.639712987945612
2016-05-01;Industrial;Cardiocirculatory;525;2016;5;338383;15.514963813193926
2016-05-01;Agricultural;Respiratory;38;2016;5;60892;6.240557051829469
2016-05-01;Agricultural;Cardiocirculatory;83;2016;5;60892;13.630690402680154
2016-06-01;Industrial;Respiratory;151;2016;6;338383;4.462399115794824
2016-06-01;Industrial;Cardiocirculatory;501;2016;6;338383;14.805708324590775
2016-06-01;Agricultural;Respiratory;19;2016;6;60892;3.1202785259147343
2016-06-01;Agricultural;Cardiocirculatory;75;2016;6;60892;12.316888918084477
2016-07-01;Industrial;Respiratory;156;2016;7;338383;4.610160675920481
2016-07-01;Industrial;Cardiocirculatory;506;2016;7;338383;14.953469884716432
2016-07-01;Agricultural;Respiratory;30;2016;7;60892;4.9267555672337915
2016-07-01;Agricultural;Cardiocirculatory;97;2016;7;60892;15.929843000722592
2016-08-01;Industrial;Respiratory;119;2016;8;338383;3.516725130990623
2016-08-01;Industrial;Cardiocirculatory;412;2016;8;338383;12.175552554354091
2016-08-01;Agricultural;Respiratory;28;2016;8;60892;4.598305196084872
2016-08-01;Agricultural;Cardiocirculatory;86;2016;8;60892;14.123365959403534
2016-09-01;Industrial;Respiratory;142;2016;9;338383;4.196428307568643
2016-09-01;Industrial;Cardiocirculatory;492;2016;9;338383;14.539737516364594
2016-09-01;Agricultural;Respiratory;36;2016;9;60892;5.912106680680549
2016-09-01;Agricultural;Cardiocirculatory;88;2016;9;60892;14.451816330552454
2016-10-01;Industrial;Respiratory;169;2016;10;338383;4.994340732247187
2016-10-01;Industrial;Cardiocirculatory;513;2016;10;338383;15.16033606889235
2016-10-01;Agricultural;Respiratory;34;2016;10;60892;5.58365630953163
2016-10-01;Agricultural;Cardiocirculatory;92;2016;10;60892;15.108717072850292
2016-11-01;Industrial;Respiratory;186;2016;11;338383;5.4967300366744185
2016-11-01;Industrial;Cardiocirculatory;620;2016;11;338383;18.322433455581397
2016-11-01;Agricultural;Respiratory;44;2016;11;60892;7.225908165276227
2016-11-01;Agricultural;Cardiocirculatory;74;2016;11;60892;12.152663732510018
2016-12-01;Industrial;Respiratory;256;2016;12;338383;7.565391878433609
2016-12-01;Industrial;Cardiocirculatory;575;2016;12;338383;16.99257941445049
2016-12-01;Agricultural;Respiratory;41;2016;12;60892;6.733232608552847
2016-12-01;Agricultural;Cardiocirculatory;66;2016;12;60892;10.83886224791434
2017-01-01;Industrial;Respiratory;347;2017;1;338533;10.250108556625202
