Year;Municipality_code;Municipality_population;Population;Area;PROV;Municipality_study_area
2016;017020;BORGO SAN GIACOMO;5379;Agricultural;BS;BORGO SAN GIACOMO
2016;017021;BORGOSATOLLO;9153;Industrial;BS;BORGOSATOLLO
2016;017023;BOTTICINO;10881;Industrial;BS;BOTTICINO
2016;017025;BOVEZZO;7444;Industrial;BS;BOVEZZO
2016;017029;BRESCIA;193881;Industrial;BS;BRESCIA
2016;017042;CASTEL MELLA;10977;Industrial;BS;CASTEL MELLA
2016;017043;CASTENEDOLO;11385;Industrial;BS;CASTENEDOLO
2016;017048;CELLATICA;4889;Industrial;BS;CELLATICA
2016;017057;COLLEBEATO;4606;Industrial;BS;COLLEBEATO
2016;017061;CONCESIO;15229;Industrial;BS;CONCESIO
2016;017072;FLERO;8664;Industrial;BS;FLERO
2016;017081;GUSSAGO;16612;Industrial;BS;GUSSAGO
2016;017117;NAVE;10887;Industrial;BS;NAVE
2016;017149;PONTEVICO;7021;Agricultural;BS;PONTEVICO
2016;017159;QUINZANO D'OGLIO;6189;Agricultural;BS;QUINZANO D'OGLIO
2016;017161;REZZATO;13284;Industrial;BS;REZZATO
2016;017165;RONCADELLE;9437;Industrial;BS;RONCADELLE
2016;017173;SAN ZENO NAVIGLIO;4609;Industrial;BS;SAN ZENO NAVIGLIO
2016;017186;TORBOLE CASAGLIA;6445;Industrial;BS;TORBOLE CASAGLIA
2016;017196;VEROLAVECCHIA;3823;Agricultural;BS;VEROLAVECCHIA
2016;017200;VILLACHIARA;1458;Agricultural;BS;VILLACHIARA
2017;017020;BORGO SAN GIACOMO;5366;Agricultural;BS;BORGO SAN GIACOMO
2017;017021;BORGOSATOLLO;9153;Industrial;BS;BORGOSATOLLO
2017;017023;BOTTICINO;10850;Industrial;BS;BOTTICINO
2017;017025;BOVEZZO;7433;Industrial;BS;BOVEZZO
2017;017029;BRESCIA;194168;Industrial;BS;BRESCIA
2017;017042;CASTEL MELLA;10889;Industrial;BS;CASTEL MELLA
2017;017043;CASTENEDOLO;11369;Industrial;BS;CASTENEDOLO
2017;017048;CELLATICA;4889;Industrial;BS;CELLATICA
2017;017057;COLLEBEATO;4634;Industrial;BS;COLLEBEATO
2017;017061;CONCESIO;15422;Industrial;BS;CONCESIO
2017;017072;FLERO;8723;Industrial;BS;FLERO
2017;017081;GUSSAGO;16470;Industrial;BS;GUSSAGO
2017;017117;NAVE;10727;Industrial;BS;NAVE
2017;017149;PONTEVICO;7000;Agricultural;BS;PONTEVICO
2017;017159;QUINZANO D'OGLIO;6210;Agricultural;BS;QUINZANO D'OGLIO
2017;017161;REZZATO;13286;Industrial;BS;REZZATO
2017;017165;RONCADELLE;9437;Industrial;BS;RONCADELLE
2017;017173;SAN ZENO NAVIGLIO;4608;Industrial;BS;SAN ZENO NAVIGLIO
2017;017186;TORBOLE CASAGLIA;6475;Industrial;BS;TORBOLE CASAGLIA
2017;017196;VEROLAVECCHIA;3776;Agricultural;BS;VEROLAVECCHIA
2017;017200;VILLACHIARA;1426;Agricultural;BS;VILLACHIARA
