SeasonYear;Season;Area;Outcome;N_events;Population;Rate_per_10000
2016;Spring;Agricultural;Cardiocirculatory;249;60892;40.89207120804046
2016;Spring;Agricultural;Respiratory;99;60892;16.25829337187151
2016;Spring;Industrial;Cardiocirculatory;1505;338383;44.47622959782259
2016;Spring;Industrial;Respiratory;546;338383;16.135562365721682
2016;Summer;Agricultural;Cardiocirculatory;258;60892;42.3700978782106
2016;Summer;Agricultural;Respiratory;77;60892;12.645339289233396
2016;Summer;Industrial;Cardiocirculatory;1419;338383;41.93473076366129
2016;Summer;Industrial;Respiratory;426;338383;12.589284922705929
2016;Autumn;Agricultural;Cardiocirculatory;254;60892;41.71319713591276
2016;Autumn;Agricultural;Respiratory;114;60892;18.721671155488405
2016;Autumn;Industrial;Cardiocirculatory;1625;338383;48.02250704083834
2016;Autumn;Industrial;Respiratory;497;338383;14.687499076490248
2017;Winter;Agricultural;Cardiocirculatory;256;60562;42.27073082130709
2017;Winter;Agricultural;Respiratory;144;60562;23.77728608698524
2017;Winter;Industrial;Cardiocirculatory;1758;338533;51.92994479120204
2017;Winter;Industrial;Respiratory;873;338533;25.787737089146404
2017;Spring;Agricultural;Cardiocirculatory;243;60562;40.12417027178759
2017;Spring;Agricultural;Respiratory;100;60562;16.51200422707308
2017;Spring;Industrial;Cardiocirculatory;1707;338533;50.42344468633782
2017;Spring;Industrial;Respiratory;591;338533;17.457677685779526
2017;Summer;Agricultural;Cardiocirculatory;254;60562;41.94049073676563
2017;Summer;Agricultural;Respiratory;87;60562;14.365443677553582
2017;Summer;Industrial;Cardiocirculatory;1626;338533;48.030768049200525
2017;Summer;Industrial;Respiratory;546;338533;16.128412887369915
2017;Autumn;Agricultural;Cardiocirculatory;259;60562;42.76609094811928
2017;Autumn;Agricultural;Respiratory;105;60562;17.337604438426734
2017;Autumn;Industrial;Cardiocirculatory;1576;338533;46.55380716207873
2017;Autumn;Industrial;Respiratory;530;338533;15.655785403490944
2018;Winter;Agricultural;Cardiocirculatory;330;60224;54.79543039319873
2018;Winter;Agricultural;Respiratory;142;60224;23.57863974495218
2018;Winter;Industrial;Cardiocirculatory;1963;338804;57.93910343443407
2018;Winter;Industrial;Respiratory;714;338804;21.074131356182335
2018;Spring;Agricultural;Cardiocirculatory;281;60224;46.65913921360255
2018;Spring;Agricultural;Respiratory;128;60224;21.253985122210413
2018;Spring;Industrial;Cardiocirculatory;1841;338804;54.33820143799955
2018;Spring;Industrial;Respiratory;616;338804;18.181603522980836
2018;Summer;Agricultural;Cardiocirculatory;245;60224;40.681455897980875
2018;Summer;Agricultural;Respiratory;99;60224;16.438629117959618
2018;Summer;Industrial;Cardiocirculatory;1557;338804;45.95577383974215
2018;Summer;Industrial;Respiratory;557;338804;16.440183705032997
2018;Autumn;Agricultural;Cardiocirculatory;234;60224;38.85494155154092
2018;Autumn;Agricultural;Respiratory;108;60224;17.933049946865037
2018;Autumn;Industrial;Cardiocirculatory;1635;338804;48.25798987024946
2018;Autumn;Industrial;Respiratory;582;338804;17.17807345840073
2019;Winter;Agricultural;Cardiocirculatory;284;60103;47.25221702743624
2019;Winter;Agricultural;Respiratory;139;60103;23.12696537610435
2019;Winter;Industrial;Cardiocirculatory;1750;340591;51.381275488782734
2019;Winter;Industrial;Respiratory;899;340591;26.39529523680896
2019;Spring;Agricultural;Cardiocirculatory;250;60103;41.59526146781359
2019;Spring;Agricultural;Respiratory;123;60103;20.464868642164287
2019;Spring;Industrial;Cardiocirculatory;1650;340591;48.44520260370943
2019;Spring;Industrial;Respiratory;708;340591;20.78739602631896
2019;Summer;Agricultural;Cardiocirculatory;260;60103;43.25907192652613
2019;Summer;Agricultural;Respiratory;108;60103;17.96915295409547
2019;Summer;Industrial;Cardiocirculatory;1553;340591;45.59721190518833
2019;Summer;Industrial;Respiratory;688;340591;20.2001814493043
2019;Autumn;Agricultural;Cardiocirculatory;291;60103;48.416884348535014
2019;Autumn;Agricultural;Respiratory;113;60103;18.80105818345174
2019;Autumn;Industrial;Cardiocirculatory;1520;340591;44.62830785311415
2019;Autumn;Industrial;Respiratory;689;340591;20.22954217815503
2023;Spring;Agricultural;Cardiocirculatory;259;59596;43.45929256997114
2023;Spring;Agricultural;Respiratory;135;59596;22.65252701523592
2023;Spring;Industrial;Cardiocirculatory;1632;341484;47.79140457532418
2023;Spring;Industrial;Respiratory;772;341484;22.607208536856778
2023;Summer;Agricultural;Cardiocirculatory;265;59596;44.466071548426065
2023;Summer;Agricultural;Respiratory;112;59596;18.793207597825358
2023;Summer;Industrial;Cardiocirculatory;1727;341484;50.57337971910836
2023;Summer;Industrial;Respiratory;671;341484;19.649529699780956
2023;Autumn;Agricultural;Cardiocirculatory;245;59596;41.11014162024297
2023;Autumn;Agricultural;Respiratory;137;59596;22.988120008054235
2023;Autumn;Industrial;Cardiocirculatory;1837;341484;53.79461409612163
2023;Autumn;Industrial;Respiratory;745;341484;21.81654191704443
