Area;PROV;Municipality;Municipality_code
Agricultural;BS;VEROLAVECCHIA;017196
Agricultural;CR;CORTE DE' CORTESI CON CIGNONE;019032
Agricultural;CR;CASTELVISCONTI;019027
Agricultural;CR;PADERNO PONCHIELLI;019065
Agricultural;BS;PONTEVICO;017149
Agricultural;CR;POZZAGLIO ED UNITI;019077
Agricultural;CR;GENIVOLTA;019047
Agricultural;CR;CASALMORANO;019022
Agricultural;CR;PERSICO DOSIMO;019068
Agricultural;CR;CASALBUTTANO ED UNITI;019016
Agricultural;BS;BORGO SAN GIACOMO;017020
Agricultural;BS;QUINZANO D'OGLIO;017159
Agricultural;BS;VILLACHIARA;017200
Agricultural;CR;AZZANELLO;019004
Agricultural;CR;ANNICCO;019003
Agricultural;CR;ROBECCO D'OGLIO;019085
Agricultural;CR;OLMENETA;019063
Agricultural;CR;CASTELVERDE;019026
Agricultural;CR;SORESINA;019098
Agricultural;CR;CORTE DE' FRATI;019033
Agricultural;CR;BORDOLANO;019007
Industrial;BS;BRESCIA;017029
Industrial;BS;REZZATO;017161
Industrial;BS;CASTEL MELLA;017042
Industrial;BS;SAN ZENO NAVIGLIO;017173
Industrial;BS;GUSSAGO;017081
Industrial;BS;RONCADELLE;017165
Industrial;BS;COLLEBEATO;017057
Industrial;BS;FLERO;017072
Industrial;BS;BOTTICINO;017023
Industrial;BS;CASTENEDOLO;017043
Industrial;BS;BORGOSATOLLO;017021
Industrial;BS;CELLATICA;017048
Industrial;BS;TORBOLE CASAGLIA;017186
Industrial;BS;CONCESIO;017061
Industrial;BS;NAVE;017117
Industrial;BS;BOVEZZO;017025
