Year;Area;Outcome;Age_group;N_events;Population;Rate_per_10000
2016;Industrial;Respiratory;<65;648;260366;24.888042217493833
2016;Industrial;Respiratory;65+;1504;78017;192.77849699424485
2016;Industrial;Cardiocirculatory;<65;2607;260366;100.12828095834327
2016;Industrial;Cardiocirculatory;65+;3639;78017;466.43680223541025
2016;Agricultural;Respiratory;<65;105;46839;22.417216422212256
2016;Agricultural;Respiratory;65+;328;14053;233.40212054365614
2016;Agricultural;Cardiocirculatory;<65;354;46839;75.57804393774418
2016;Agricultural;Cardiocirculatory;65+;656;14053;466.8042410873123
2017;Industrial;Respiratory;<65;707;259608;27.233367230593817
2017;Industrial;Respiratory;65+;1807;78925;228.95153626860943
2017;Industrial;Cardiocirculatory;<65;2770;259608;106.69933129949771
2017;Industrial;Cardiocirculatory;65+;3951;78925;500.60183718720305
2017;Agricultural;Respiratory;<65;84;46418;18.096428109785
2017;Agricultural;Respiratory;65+;354;14144;250.28280542986425
2017;Agricultural;Cardiocirculatory;<65;356;46418;76.6943857986126
2017;Agricultural;Cardiocirculatory;65+;719;14144;508.34276018099547
2018;Industrial;Respiratory;<65;705;259131;27.20631649628952
2018;Industrial;Respiratory;65+;1802;79673;226.17448822060172
2018;Industrial;Cardiocirculatory;<65;2707;259131;104.46453724178119
2018;Industrial;Cardiocirculatory;65+;4260;79673;534.6855270919884
2018;Agricultural;Respiratory;<65;107;45982;23.269975207689964
2018;Agricultural;Respiratory;65+;359;14242;252.07133829518324
2018;Agricultural;Cardiocirculatory;<65;355;45982;77.20412335261625
2018;Agricultural;Cardiocirculatory;65+;698;14242;490.09970509759864
2019;Industrial;Respiratory;<65;892;260273;34.271707015326214
2019;Industrial;Respiratory;65+;2092;80318;260.4646530043079
2019;Industrial;Cardiocirculatory;<65;2456;260273;94.36245788076366
2019;Industrial;Cardiocirculatory;65+;3963;80318;493.4136806195374
2019;Agricultural;Respiratory;<65;115;45809;25.104237158636952
2019;Agricultural;Respiratory;65+;374;14294;261.6482440184693
2019;Agricultural;Cardiocirculatory;<65;326;45809;71.16505490187518
2019;Agricultural;Cardiocirculatory;65+;767;14294;536.5887785084651
2023;Industrial;Respiratory;<65;1038;259296;40.03146982599038
2023;Industrial;Respiratory;65+;2157;82188;262.447072565338
2023;Industrial;Cardiocirculatory;<65;2904;259296;111.99555720103666
2023;Industrial;Cardiocirculatory;65+;4076;82188;495.93614639606756
2023;Agricultural;Respiratory;<65;153;44999;34.00075557234605
2023;Agricultural;Respiratory;65+;412;14597;282.2497773515106
2023;Agricultural;Cardiocirculatory;<65;393;44999;87.3352741172026
2023;Agricultural;Cardiocirculatory;65+;701;14597;480.23566486264303
