Year;Area;Outcome;Age_group;N_events;Population;Rate_per_10000
2016;Industrial;Respiratory;0-44;376;163320;23.022287533676216
2016;Industrial;Respiratory;45-64;272;97046;28.027945510376522
2016;Industrial;Respiratory;65-74;209;37977;55.033309634778945
2016;Industrial;Respiratory;75-84;564;28272;199.490662139219
2016;Industrial;Respiratory;85+;731;11768;621.1760707002039
2016;Industrial;Cardiocirculatory;0-44;1314;163320;80.45554739162381
2016;Industrial;Cardiocirculatory;45-64;1293;97046;133.23578509160603
2016;Industrial;Cardiocirculatory;65-74;794;37977;209.07391315796403
2016;Industrial;Cardiocirculatory;75-84;1399;28272;494.83588002263724
2016;Industrial;Cardiocirculatory;85+;1446;11768;1228.7559483344664
2016;Agricultural;Respiratory;0-44;53;29059;18.238755635087237
2016;Agricultural;Respiratory;45-64;52;17780;29.24634420697413
2016;Agricultural;Respiratory;65-74;52;6584;78.97934386391252
2016;Agricultural;Respiratory;75-84;120;5138;233.55391202802645
2016;Agricultural;Respiratory;85+;156;2331;669.2406692406693
2016;Agricultural;Cardiocirculatory;0-44;137;29059;47.14546267937644
2016;Agricultural;Cardiocirculatory;45-64;217;17780;122.04724409448819
2016;Agricultural;Cardiocirculatory;65-74;146;6584;221.74969623329284
2016;Agricultural;Cardiocirculatory;75-84;281;5138;546.9054106656287
2016;Agricultural;Cardiocirculatory;85+;229;2331;982.4109824109823
2017;Industrial;Respiratory;0-44;419;161325;25.972415930574925
2017;Industrial;Respiratory;45-64;288;98283;29.303134824944294
2017;Industrial;Respiratory;65-74;287;37784;75.95807749311878
2017;Industrial;Respiratory;75-84;653;28901;225.9437389709699
2017;Industrial;Respiratory;85+;867;12240;708.3333333333334
2017;Industrial;Cardiocirculatory;0-44;1376;161325;85.29366186269952
2017;Industrial;Cardiocirculatory;45-64;1394;98283;141.83531231240397
2017;Industrial;Cardiocirculatory;65-74;895;37784;236.8727503705272
2017;Industrial;Cardiocirculatory;75-84;1507;28901;521.4352444552092
2017;Industrial;Cardiocirculatory;85+;1549;12240;1265.5228758169935
2017;Agricultural;Respiratory;0-44;49;28484;17.20264007864064
2017;Agricultural;Respiratory;45-64;35;17934;19.516003122560498
2017;Agricultural;Respiratory;65-74;58;6643;87.30995032364896
2017;Agricultural;Respiratory;75-84;127;5108;248.6296006264683
2017;Agricultural;Respiratory;85+;169;2393;706.2264939406602
2017;Agricultural;Cardiocirculatory;0-44;150;28484;52.66114309787951
2017;Agricultural;Cardiocirculatory;45-64;206;17934;114.86561837849895
2017;Agricultural;Cardiocirculatory;65-74;171;6643;257.4138190576547
2017;Agricultural;Cardiocirculatory;75-84;279;5108;546.2020360219265
2017;Agricultural;Cardiocirculatory;85+;269;2393;1124.111993313832
2018;Industrial;Respiratory;0-44;391;159641;24.4924549457846
2018;Industrial;Respiratory;45-64;314;99490;31.560960900593027
2018;Industrial;Respiratory;65-74;280;37709;74.25283088917764
2018;Industrial;Respiratory;75-84;633;29374;215.49669775992376
2018;Industrial;Respiratory;85+;889;12590;706.1159650516282
2018;Industrial;Cardiocirculatory;0-44;1329;159641;83.24929059577427
2018;Industrial;Cardiocirculatory;45-64;1378;99490;138.50638255101015
2018;Industrial;Cardiocirculatory;65-74;787;37709;208.70349253493862
2018;Industrial;Cardiocirculatory;75-84;1740;29374;592.3605909988426
2018;Industrial;Cardiocirculatory;85+;1733;12590;1376.4892772041303
2018;Agricultural;Respiratory;0-44;50;28088;17.801196240387352
2018;Agricultural;Respiratory;45-64;57;17894;31.85425282217503
2018;Agricultural;Respiratory;65-74;57;6791;83.93461934913856
2018;Agricultural;Respiratory;75-84;143;5041;283.67387423130333
2018;Agricultural;Respiratory;85+;159;2410;659.7510373443984
2018;Agricultural;Cardiocirculatory;0-44;146;28088;51.97949302193108
2018;Agricultural;Cardiocirculatory;45-64;209;17894;116.79892701464178
2018;Agricultural;Cardiocirculatory;65-74;143;6791;210.57281696362833
