Year;Area;Outcome;Age_group;N_events
2016;Industrial;Respiratory;<65;648
2016;Industrial;Respiratory;65+;1504
2016;Industrial;Cardiocirculatory;<65;2607
2016;Industrial;Cardiocirculatory;65+;3639
2016;Agricultural;Respiratory;<65;105
2016;Agricultural;Respiratory;65+;328
2016;Agricultural;Cardiocirculatory;<65;354
2016;Agricultural;Cardiocirculatory;65+;656
2017;Industrial;Respiratory;<65;707
2017;Industrial;Respiratory;65+;1807
2017;Industrial;Cardiocirculatory;<65;2770
2017;Industrial;Cardiocirculatory;65+;3951
2017;Agricultural;Respiratory;<65;84
2017;Agricultural;Respiratory;65+;354
2017;Agricultural;Cardiocirculatory;<65;356
2017;Agricultural;Cardiocirculatory;65+;719
2018;Industrial;Respiratory;<65;705
2018;Industrial;Respiratory;65+;1802
2018;Industrial;Cardiocirculatory;<65;2707
2018;Industrial;Cardiocirculatory;65+;4260
2018;Agricultural;Respiratory;<65;107
2018;Agricultural;Respiratory;65+;359
2018;Agricultural;Cardiocirculatory;<65;355
2018;Agricultural;Cardiocirculatory;65+;698
2019;Industrial;Respiratory;<65;892
2019;Industrial;Respiratory;65+;2092
2019;Industrial;Cardiocirculatory;<65;2456
2019;Industrial;Cardiocirculatory;65+;3963
2019;Agricultural;Respiratory;<65;115
2019;Agricultural;Respiratory;65+;374
2019;Agricultural;Cardiocirculatory;<65;326
2019;Agricultural;Cardiocirculatory;65+;767
2023;Industrial;Respiratory;<65;1038
2023;Industrial;Respiratory;65+;2157
2023;Industrial;Cardiocirculatory;<65;2904
2023;Industrial;Cardiocirculatory;65+;4076
2023;Agricultural;Respiratory;<65;153
2023;Agricultural;Respiratory;65+;412
2023;Agricultural;Cardiocirculatory;<65;393
2023;Agricultural;Cardiocirculatory;65+;701
