Year;Area;Outcome;Age_group;N_events
2016;Industrial;Respiratory;0-44;376
2016;Industrial;Respiratory;45-64;272
2016;Industrial;Respiratory;65-74;209
2016;Industrial;Respiratory;75-84;564
2016;Industrial;Respiratory;85+;731
2016;Industrial;Cardiocirculatory;0-44;1314
2016;Industrial;Cardiocirculatory;45-64;1293
2016;Industrial;Cardiocirculatory;65-74;794
2016;Industrial;Cardiocirculatory;75-84;1399
2016;Industrial;Cardiocirculatory;85+;1446
2016;Agricultural;Respiratory;0-44;53
2016;Agricultural;Respiratory;45-64;52
2016;Agricultural;Respiratory;65-74;52
2016;Agricultural;Respiratory;75-84;120
2016;Agricultural;Respiratory;85+;156
2016;Agricultural;Cardiocirculatory;0-44;137
2016;Agricultural;Cardiocirculatory;45-64;217
2016;Agricultural;Cardiocirculatory;65-74;146
2016;Agricultural;Cardiocirculatory;75-84;281
2016;Agricultural;Cardiocirculatory;85+;229
2017;Industrial;Respiratory;0-44;419
2017;Industrial;Respiratory;45-64;288
2017;Industrial;Respiratory;65-74;287
2017;Industrial;Respiratory;75-84;653
2017;Industrial;Respiratory;85+;867
2017;Industrial;Cardiocirculatory;0-44;1376
2017;Industrial;Cardiocirculatory;45-64;1394
2017;Industrial;Cardiocirculatory;65-74;895
2017;Industrial;Cardiocirculatory;75-84;1507
2017;Industrial;Cardiocirculatory;85+;1549
2017;Agricultural;Respiratory;0-44;49
2017;Agricultural;Respiratory;45-64;35
2017;Agricultural;Respiratory;65-74;58
2017;Agricultural;Respiratory;75-84;127
2017;Agricultural;Respiratory;85+;169
2017;Agricultural;Cardiocirculatory;0-44;150
2017;Agricultural;Cardiocirculatory;45-64;206
2017;Agricultural;Cardiocirculatory;65-74;171
2017;Agricultural;Cardiocirculatory;75-84;279
2017;Agricultural;Cardiocirculatory;85+;269
2018;Industrial;Respiratory;0-44;391
2018;Industrial;Respiratory;45-64;314
2018;Industrial;Respiratory;65-74;280
2018;Industrial;Respiratory;75-84;633
2018;Industrial;Respiratory;85+;889
2018;Industrial;Cardiocirculatory;0-44;1329
2018;Industrial;Cardiocirculatory;45-64;1378
2018;Industrial;Cardiocirculatory;65-74;787
2018;Industrial;Cardiocirculatory;75-84;1740
2018;Industrial;Cardiocirculatory;85+;1733
2018;Agricultural;Respiratory;0-44;50
2018;Agricultural;Respiratory;45-64;57
2018;Agricultural;Respiratory;65-74;57
2018;Agricultural;Respiratory;75-84;143
2018;Agricultural;Respiratory;85+;159
2018;Agricultural;Cardiocirculatory;0-44;146
2018;Agricultural;Cardiocirculatory;45-64;209
2018;Agricultural;Cardiocirculatory;65-74;143
2018;Agricultural;Cardiocirculatory;75-84;303
2018;Agricultural;Cardiocirculatory;85+;252
2019;Industrial;Respiratory;0-44;496
2019;Industrial;Respiratory;45-64;396
2019;Industrial;Respiratory;65-74;317
2019;Industrial;Respiratory;75-84;758
2019;Industrial;Respiratory;85+;1017
2019;Industrial;Cardiocirculatory;0-44;1137
2019;Industrial;Cardiocirculatory;45-64;1319
2019;Industrial;Cardiocirculatory;65-74;837
2019;Industrial;Cardiocirculatory;75-84;1485
2019;Industrial;Cardiocirculatory;85+;1641
2019;Agricultural;Respiratory;0-44;70
2019;Agricultural;Respiratory;45-64;45
2019;Agricultural;Respiratory;65-74;67
2019;Agricultural;Respiratory;75-84;125
2019;Agricultural;Respiratory;85+;182
2019;Agricultural;Cardiocirculatory;0-44;121
2019;Agricultural;Cardiocirculatory;45-64;205
2019;Agricultural;Cardiocirculatory;65-74;176
2019;Agricultural;Cardiocirculatory;75-84;324
2019;Agricultural;Cardiocirculatory;85+;267
2023;Industrial;Respiratory;0-44;562
2023;Industrial;Respiratory;45-64;476
2023;Industrial;Respiratory;65-74;394
2023;Industrial;Respiratory;75-84;781
2023;Industrial;Respiratory;85+;982
2023;Industrial;Cardiocirculatory;0-44;1402
2023;Industrial;Cardiocirculatory;45-64;1502
2023;Industrial;Cardiocirculatory;65-74;866
2023;Industrial;Cardiocirculatory;75-84;1550
2023;Industrial;Cardiocirculatory;85+;1660
2023;Agricultural;Respiratory;0-44;83
2023;Agricultural;Respiratory;45-64;70
2023;Agricultural;Respiratory;65-74;92
2023;Agricultural;Respiratory;75-84;136
2023;Agricultural;Respiratory;85+;184
2023;Agricultural;Cardiocirculatory;0-44;160
2023;Agricultural;Cardiocirculatory;45-64;233
2023;Agricultural;Cardiocirculatory;65-74;163
2023;Agricultural;Cardiocirculatory;75-84;270
2023;Agricultural;Cardiocirculatory;85+;268
