Area;Outcome;Age_group;N_events;Total_events;Percentage
Agricultural;Cardiocirculatory;0-44;714;5325;13.408450704225352
Agricultural;Cardiocirculatory;45-64;1070;5325;20.093896713615024
Agricultural;Cardiocirculatory;65-74;799;5325;15.004694835680752
Agricultural;Cardiocirculatory;75-84;1457;5325;27.361502347417844
Agricultural;Cardiocirculatory;85+;1285;5325;24.131455399061032
Agricultural;Respiratory;0-44;305;2391;12.75616896695943
Agricultural;Respiratory;45-64;259;2391;10.832287745713092
Agricultural;Respiratory;65-74;326;2391;13.634462567963196
Agricultural;Respiratory;75-84;651;2391;27.22710163111669
Agricultural;Respiratory;85+;850;2391;35.549979088247596
Industrial;Cardiocirculatory;0-44;6558;33333;19.67419674196742
Industrial;Cardiocirculatory;45-64;6886;33333;20.658206582065823
Industrial;Cardiocirculatory;65-74;4179;33333;12.537125371253714
Industrial;Cardiocirculatory;75-84;7681;33333;23.043230432304323
Industrial;Cardiocirculatory;85+;8029;33333;24.087240872408724
Industrial;Respiratory;0-44;2244;13352;16.806470940683045
Industrial;Respiratory;45-64;1746;13352;13.076692630317554
Industrial;Respiratory;65-74;1487;13352;11.136908328340324
Industrial;Respiratory;75-84;3389;13352;25.381965248651888
Industrial;Respiratory;85+;4486;13352;33.59796285200719
