Year;Area;Age_group;Population
2016;Agricultural;65+;14053
2016;Agricultural;<65;46839
2016;Industrial;65+;78017
2016;Industrial;<65;260366
2017;Agricultural;65+;14144
2017;Agricultural;<65;46418
2017;Industrial;65+;78925
2017;Industrial;<65;259608
2018;Agricultural;65+;14242
2018;Agricultural;<65;45982
2018;Industrial;65+;79673
2018;Industrial;<65;259131
2019;Agricultural;65+;14294
2019;Agricultural;<65;45809
2019;Industrial;65+;80318
2019;Industrial;<65;260273
2023;Agricultural;65+;14597
2023;Agricultural;<65;44999
2023;Industrial;65+;82188
2023;Industrial;<65;259296
