Year;Area;Age_group;Population
2016;Agricultural;0-44;29059
2016;Agricultural;45-64;17780
2016;Agricultural;65-74;6584
2016;Agricultural;75-84;5138
2016;Agricultural;85+;2331
2016;Industrial;0-44;163320
2016;Industrial;45-64;97046
2016;Industrial;65-74;37977
2016;Industrial;75-84;28272
2016;Industrial;85+;11768
2017;Agricultural;0-44;28484
2017;Agricultural;45-64;17934
2017;Agricultural;65-74;6643
2017;Agricultural;75-84;5108
2017;Agricultural;85+;2393
2017;Industrial;0-44;161325
2017;Industrial;45-64;98283
2017;Industrial;65-74;37784
2017;Industrial;75-84;28901
2017;Industrial;85+;12240
2018;Agricultural;0-44;28088
2018;Agricultural;45-64;17894
2018;Agricultural;65-74;6791
2018;Agricultural;75-84;5041
2018;Agricultural;85+;2410
2018;Industrial;0-44;159641
2018;Industrial;45-64;99490
2018;Industrial;65-74;37709
2018;Industrial;75-84;29374
2018;Industrial;85+;12590
2019;Agricultural;0-44;27811
2019;Agricultural;45-64;17998
2019;Agricultural;65-74;6848
2019;Agricultural;75-84;5042
2019;Agricultural;85+;2404
2019;Industrial;0-44;158958
2019;Industrial;45-64;101315
2019;Industrial;65-74;37772
2019;Industrial;75-84;29602
2019;Industrial;85+;12944
2023;Agricultural;0-44;26527
2023;Agricultural;45-64;18472
2023;Agricultural;65-74;7238
2023;Agricultural;75-84;4915
2023;Agricultural;85+;2444
2023;Industrial;0-44;154904
2023;Industrial;45-64;104392
2023;Industrial;65-74;38087
2023;Industrial;75-84;30656
2023;Industrial;85+;13445
