Municipality;N_events
BRESCIA;121932
REZZATO;6839
SORESINA;5720
GUSSAGO;5675
CONCESIO;5336
RONCADELLE;4629
CASTENEDOLO;3988
NAVE;3569
PONTEVICO;3545
BOTTICINO;3100
CASTEL MELLA;3032
FLERO;2828
CASTELVERDE;2770
BORGOSATOLLO;2729
BOVEZZO;2446
QUINZANO D'OGLIO;2032
_NULL (DATO NON INSERITO);2005
CASALBUTTANO ED UNITI;1995
TORBOLE CASAGLIA;1873
COLLEBEATO;1851
SAN ZENO NAVIGLIO;1685
CELLATICA;1549
BORGO SAN GIACOMO;1487
ANNICCO;1070
PERSICO DOSIMO;1009
VEROLAVECCHIA;994
ROBECCO D'OGLIO;912
CASALMORANO;879
PADERNO PONCHIELLI;593
A4 VE>TO;577
A4 TO>VE;565
POZZAGLIO ED UNITI;542
CORTE DE' FRATI;433
GENIVOLTA;425
VILLACHIARA;361
OLMENETA;270
CORTE DE' CORTESI CON CIGNONE;269
AZZANELLO;264
BORDOLANO;197
CASTELVISCONTI;128
A21 TO>BS;88
CASTEGNATO;60
A21 BS>TO;55
MAZZANO;38
PONCARALE;17
_ERR (ERRORE);7
MONTICHIARI;6
RODENGO SAIANO;5
MONTIRONE;3
BASSANO BRESCIANO;3
CREMONA;2
VILLA CARCINA;2
LUMEZZANE;2
TRIGOLO;2
GRONTARDO;2
GHEDI;1
ARTOGNE;1
SCANDOLARA RIPA D'OGLIO;1
CAPRIANO DEL COLLE;1
TRAVAGLIATO;1
VEROLANUOVA;1
AZZANO MELLA;1
BERGAMO;1
CAINO;1
ORIO AL SERIO;1
COLOGNE;1
ALFIANELLO;1
ORZINUOVI;1
SALE MARASINO;1
NUVOLERA;1
VARESE;1
