MONTH_PERIOD;YEAR_PARSED;MONTH;PROV;N_respiratory_events
2015-01-01;2015;1;BS;286
2015-01-01;2015;1;CR;37
2015-02-01;2015;2;BS;195
2015-02-01;2015;2;CR;33
2015-03-01;2015;3;BS;196
2015-03-01;2015;3;CR;33
2015-04-01;2015;4;BS;193
2015-04-01;2015;4;CR;38
2015-05-01;2015;5;BS;170
2015-05-01;2015;5;CR;17
2015-06-01;2015;6;BS;163
2015-06-01;2015;6;CR;18
2015-07-01;2015;7;BS;209
2015-07-01;2015;7;CR;16
2015-08-01;2015;8;BS;141
2015-08-01;2015;8;CR;16
2015-09-01;2015;9;BS;148
2015-09-01;2015;9;CR;15
2015-10-01;2015;10;BS;167
2015-10-01;2015;10;CR;23
2015-11-01;2015;11;BS;162
2015-11-01;2015;11;CR;22
2015-12-01;2015;12;BS;187
2015-12-01;2015;12;CR;24
2016-01-01;2016;1;BS;241
2016-01-01;2016;1;CR;32
2016-02-01;2016;2;BS;219
2016-02-01;2016;2;CR;37
2016-03-01;2016;3;BS;209
2016-03-01;2016;3;CR;25
2016-04-01;2016;4;BS;199
2016-04-01;2016;4;CR;16
2016-05-01;2016;5;BS;172
2016-05-01;2016;5;CR;23
2016-06-01;2016;6;BS;158
2016-06-01;2016;6;CR;12
2016-07-01;2016;7;BS;167
2016-07-01;2016;7;CR;19
2016-08-01;2016;8;BS;125
2016-08-01;2016;8;CR;22
2016-09-01;2016;9;BS;156
2016-09-01;2016;9;CR;22
2016-10-01;2016;10;BS;178
2016-10-01;2016;10;CR;25
2016-11-01;2016;11;BS;201
2016-11-01;2016;11;CR;29
2016-12-01;2016;12;BS;275
2016-12-01;2016;12;CR;22
2017-01-01;2017;1;BS;381
2017-01-01;2017;1;CR;28
2017-02-01;2017;2;BS;281
2017-02-01;2017;2;CR;27
2017-03-01;2017;3;BS;231
2017-03-01;2017;3;CR;27
2017-04-01;2017;4;BS;192
2017-04-01;2017;4;CR;17
2017-05-01;2017;5;BS;201
2017-05-01;2017;5;CR;22
2017-06-01;2017;6;BS;212
2017-06-01;2017;6;CR;24
2017-07-01;2017;7;BS;173
2017-07-01;2017;7;CR;14
2017-08-01;2017;8;BS;198
2017-08-01;2017;8;CR;11
2017-09-01;2017;9;BS;168
2017-09-01;2017;9;CR;17
2017-10-01;2017;10;BS;202
2017-10-01;2017;10;CR;21
2017-11-01;2017;11;BS;195
2017-11-01;2017;11;CR;30
2017-12-01;2017;12;BS;245
2017-12-01;2017;12;CR;28
2018-01-01;2018;1;BS;284
2018-01-01;2018;1;CR;53
2018-02-01;2018;2;BS;227
2018-02-01;2018;2;CR;17
2018-03-01;2018;3;BS;251
2018-03-01;2018;3;CR;33
2018-04-01;2018;4;BS;208
2018-04-01;2018;4;CR;32
2018-05-01;2018;5;BS;192
2018-05-01;2018;5;CR;28
2018-06-01;2018;6;BS;179
2018-06-01;2018;6;CR;26
2018-07-01;2018;7;BS;221
2018-07-01;2018;7;CR;21
2018-08-01;2018;8;BS;189
2018-08-01;2018;8;CR;19
2018-09-01;2018;9;BS;178
2018-09-01;2018;9;CR;31
2018-10-01;2018;10;BS;217
2018-10-01;2018;10;CR;18
2018-11-01;2018;11;BS;217
2018-11-01;2018;11;CR;29
2018-12-01;2018;12;BS;278
2018-12-01;2018;12;CR;22
2019-01-01;2019;1;BS;326
2019-01-01;2019;1;CR;37
2019-02-01;2019;2;BS;343
2019-02-01;2019;2;CR;30
2019-03-01;2019;3;BS;257
2019-03-01;2019;3;CR;18
2019-04-01;2019;4;BS;238
2019-04-01;2019;4;CR;35
2019-05-01;2019;5;BS;252
2019-05-01;2019;5;CR;27
2019-06-01;2019;6;BS;244
2019-06-01;2019;6;CR;29
2019-07-01;2019;7;BS;270
2019-07-01;2019;7;CR;17
2019-08-01;2019;8;BS;214
2019-08-01;2019;8;CR;21
2019-09-01;2019;9;BS;208
2019-09-01;2019;9;CR;17
2019-10-01;2019;10;BS;274
2019-10-01;2019;10;CR;20
2019-11-01;2019;11;BS;250
2019-11-01;2019;11;CR;29
2019-12-01;2019;12;BS;289
2019-12-01;2019;12;CR;17
2023-01-01;2023;1;BS;346
2023-01-01;2023;1;CR;40
2023-02-01;2023;2;BS;303
2023-02-01;2023;2;CR;40
2023-03-01;2023;3;BS;282
2023-03-01;2023;3;CR;32
2023-04-01;2023;4;BS;284
2023-04-01;2023;4;CR;24
2023-05-01;2023;5;BS;253
2023-05-01;2023;5;CR;29
2023-06-01;2023;6;BS;233
2023-06-01;2023;6;CR;23
2023-07-01;2023;7;BS;226
2023-07-01;2023;7;CR;22
2023-08-01;2023;8;BS;257
2023-08-01;2023;8;CR;21
2023-09-01;2023;9;BS;242
2023-09-01;2023;9;CR;30
2023-10-01;2023;10;BS;275
2023-10-01;2023;10;CR;35
2023-11-01;2023;11;BS;272
2023-11-01;2023;11;CR;27
2023-12-01;2023;12;BS;415
2023-12-01;2023;12;CR;43
