MONTH_PERIOD;YEAR_PARSED;MONTH;PROV;MUNICIPALITY;N_respiratory_events
2015-01-01;2015;1;BS;BRESCIA;183
2015-01-01;2015;1;BS;REZZATO;12
2015-01-01;2015;1;CR;SORESINA;17
2015-02-01;2015;2;BS;BRESCIA;118
2015-02-01;2015;2;BS;REZZATO;4
2015-02-01;2015;2;CR;SORESINA;17
2015-03-01;2015;3;BS;BRESCIA;133
2015-03-01;2015;3;BS;REZZATO;9
2015-03-01;2015;3;CR;SORESINA;11
2015-04-01;2015;4;BS;BRESCIA;127
2015-04-01;2015;4;BS;REZZATO;10
2015-04-01;2015;4;CR;SORESINA;14
2015-05-01;2015;5;BS;BRESCIA;102
2015-05-01;2015;5;BS;REZZATO;10
2015-05-01;2015;5;CR;SORESINA;10
2015-06-01;2015;6;BS;BRESCIA;93
2015-06-01;2015;6;BS;REZZATO;12
2015-06-01;2015;6;CR;SORESINA;9
2015-07-01;2015;7;BS;BRESCIA;129
2015-07-01;2015;7;BS;REZZATO;12
2015-07-01;2015;7;CR;SORESINA;7
2015-08-01;2015;8;BS;BRESCIA;90
2015-08-01;2015;8;BS;REZZATO;8
2015-08-01;2015;8;CR;SORESINA;7
2015-09-01;2015;9;BS;BRESCIA;95
2015-09-01;2015;9;BS;REZZATO;5
2015-09-01;2015;9;CR;SORESINA;6
2015-10-01;2015;10;BS;BRESCIA;104
2015-10-01;2015;10;BS;REZZATO;8
2015-10-01;2015;10;CR;SORESINA;7
2015-11-01;2015;11;BS;BRESCIA;102
2015-11-01;2015;11;BS;REZZATO;8
2015-11-01;2015;11;CR;SORESINA;10
2015-12-01;2015;12;BS;BRESCIA;126
2015-12-01;2015;12;BS;REZZATO;6
2015-12-01;2015;12;CR;SORESINA;6
2016-01-01;2016;1;BS;BRESCIA;134
2016-01-01;2016;1;BS;REZZATO;13
2016-01-01;2016;1;CR;SORESINA;10
2016-02-01;2016;2;BS;BRESCIA;134
2016-02-01;2016;2;BS;REZZATO;9
2016-02-01;2016;2;CR;SORESINA;20
