SEASON_YEAR;SEASON;PROV;N_respiratory_events
2015;Autumn;BS;477
2015;Autumn;CR;60
2015;Spring;BS;559
2015;Spring;CR;88
2015;Summer;BS;513
2015;Summer;CR;50
2015;Winter;BS;481
2015;Winter;CR;70
2016;Autumn;BS;535
2016;Autumn;CR;76
2016;Spring;BS;580
2016;Spring;CR;64
2016;Summer;BS;450
2016;Summer;CR;53
2016;Winter;BS;647
2016;Winter;CR;93
2017;Autumn;BS;565
2017;Autumn;CR;68
2017;Spring;BS;624
2017;Spring;CR;66
2017;Summer;BS;583
2017;Summer;CR;49
2017;Winter;BS;937
2017;Winter;CR;77
2018;Autumn;BS;612
2018;Autumn;CR;78
2018;Spring;BS;651
2018;Spring;CR;93
2018;Summer;BS;589
2018;Summer;CR;66
2018;Winter;BS;756
2018;Winter;CR;98
2019;Autumn;BS;732
2019;Autumn;CR;66
2019;Spring;BS;747
2019;Spring;CR;80
2019;Summer;BS;728
2019;Summer;CR;67
2019;Winter;BS;947
2019;Winter;CR;89
2020;Winter;BS;289
2020;Winter;CR;17
2023;Autumn;BS;789
2023;Autumn;CR;92
2023;Spring;BS;819
2023;Spring;CR;85
2023;Summer;BS;716
2023;Summer;CR;66
2023;Winter;BS;649
2023;Winter;CR;80
2024;Winter;BS;415
2024;Winter;CR;43
