SeasonYear;Season;Area;Population;Cardiocirculatory_rate_per_10000;Respiratory_rate_per_10000;NO2_mean;PM25_mean;TimeLabel
2016;Spring;Agricultural;60892;40.89207120804046;16.25829337187151;18.2481430108454;23.226661779081137;2016-Spring
2016;Spring;Industrial;338383;44.47622959782259;16.135562365721682;23.58076887168193;22.78641025641026;2016-Spring
2016;Summer;Agricultural;60892;42.3700978782106;12.645339289233396;15.50632915173238;16.63046594982079;2016-Summer
2016;Summer;Industrial;338383;41.93473076366129;12.589284922705929;16.788842955739288;13.783730158730158;2016-Summer
2016;Autumn;Agricultural;60892;41.71319713591276;18.721671155488405;28.274101597914957;29.980954146582626;2016-Autumn
2016;Autumn;Industrial;338383;48.02250704083834;14.687499076490248;24.8105733044676;25.876349206349204;2016-Autumn
2017;Winter;Agricultural;60562;42.27073082130709;23.77728608698524;45.28584549411162;45.86930608769689;2017-Winter
2017;Winter;Industrial;338533;51.92994479120204;25.787737089146404;39.39320604296419;48.9062980030722;2017-Winter
2017;Spring;Agricultural;60562;40.12417027178759;16.51200422707308;24.439501437859462;24.527956989247315;2017-Spring
2017;Spring;Industrial;338533;50.42344468633782;17.457677685779526;19.887502430450624;24.28623073255999;2017-Spring
2017;Summer;Agricultural;60562;41.94049073676563;14.365443677553582;18.828268857251555;17.436559139784947;2017-Summer
2017;Summer;Industrial;338533;48.030768049200525;16.128412887369915;16.641494066987438;12.670151334129828;2017-Summer
2017;Autumn;Agricultural;60562;42.76609094811928;17.337604438426734;36.80915689748074;36.45307565997221;2017-Autumn
2017;Autumn;Industrial;338533;46.55380716207873;15.655785403490944;27.482914384462603;31.331928651059087;2017-Autumn
2018;Winter;Agricultural;60224;54.79543039319873;23.57863974495218;46.78492063492064;38.00725509058842;2018-Winter
2018;Winter;Industrial;338804;57.93910343443407;21.07413135618233;39.49861111111111;40.02770885028949;2018-Winter
2018;Spring;Agricultural;60224;46.65913921360255;21.253985122210413;24.016064452897503;26.09832451499118;2018-Spring
2018;Spring;Industrial;338804;54.33820143799955;18.18160352298084;25.6801396989183;23.08888888888889;2018-Spring
2018;Summer;Agricultural;60224;40.68145589798088;16.438629117959618;17.588250849851864;16.62886889888389;2018-Summer
2018;Summer;Industrial;338804;45.95577383974215;16.440183705032997;18.421216222852795;14.133640552995391;2018-Summer
2018;Autumn;Agricultural;60224;38.85494155154092;17.933049946865037;29.12984468339307;27.57741935483871;2018-Autumn
2018;Autumn;Industrial;338804;48.25798987024946;17.17807345840073;24.050377982869104;23.449699666295885;2018-Autumn
2019;Winter;Agricultural;60103;47.25221702743624;23.12696537610435;58.28304973833266;43.546876600102415;2019-Winter
2019;Winter;Industrial;340591;51.381275488782734;26.39529523680896;40.02908505525863;43.71131945547963;2019-Winter
2019;Spring;Agricultural;60103;41.59526146781359;20.464868642164287;22.42133142473888;21.68186874304783;2019-Spring
2019;Spring;Industrial;340591;48.44520260370943;20.78739602631896;21.771694208084664;21.10720828355237;2019-Spring
2019;Summer;Agricultural;60103;43.25907192652613;17.96915295409547;17.210803728691797;17.13252090800478;2019-Summer
2019;Summer;Industrial;340591;45.59721190518833;20.2001814493043;18.334807434884578;16.87136598964556;2019-Summer
2019;Autumn;Agricultural;60103;48.41688434853501;18.80105818345174;23.210813600274065;24.42624521072797;2019-Autumn
2019;Autumn;Industrial;340591;44.62830785311415;20.22954217815503;26.13693893877449;20.230651340996168;2019-Autumn
2023;Spring;Agricultural;59596;43.45929256997114;22.65252701523592;20.01600751984041;17.810344827586206;2023-Spring
2023;Spring;Industrial;341484;47.79140457532418;22.607208536856778;18.89076770440264;16.88677013259883;2023-Spring
2023;Summer;Agricultural;59596;44.46607154842607;18.79320759782536;14.73335157690678;15.16215106732348;2023-Summer
2023;Summer;Industrial;341484;50.57337971910836;19.64952969978096;11.35877834879301;12.35632183908046;2023-Summer
2023;Autumn;Agricultural;59596;41.11014162024297;22.988120008054235;26.430148414534127;25.25878136200717;2023-Autumn
2023;Autumn;Industrial;341484;53.79461409612163;21.81654191704443;23.198216812268782;18.288722478238608;2023-Autumn
