Season;Group;Pollutant;Pollutant_label;Outcome;Outcome_label;N;Spearman_rho;p_value;Interpretation
Winter;Overall;NO2_mean;Monthly mean NO2;Respiratory_rate_per_10000;Respiratory acute event rate;30;-0.02803426427404217;0.8830893584779653;"very weak negative association; not statistically significant"
Winter;Overall;NO2_mean;Monthly mean NO2;Cardiocirculatory_rate_per_10000;Cardiocirculatory acute event rate;30;0.045606229143492764;0.8108685300024909;"very weak positive association; not statistically significant"
Winter;Overall;PM25_mean;Monthly mean PM2.5;Respiratory_rate_per_10000;Respiratory acute event rate;30;0.008232283953488573;0.9655622249310082;"very weak positive association; not statistically significant"
Winter;Overall;PM25_mean;Monthly mean PM2.5;Cardiocirculatory_rate_per_10000;Cardiocirculatory acute event rate;30;-0.05939933259176862;0.7551966336537174;"very weak negative association; not statistically significant"
Winter;Industrial;NO2_mean;Monthly mean NO2;Respiratory_rate_per_10000;Respiratory acute event rate;15;-0.0017873108119926943;0.9949561096266831;"very weak negative association; not statistically significant"
Winter;Industrial;NO2_mean;Monthly mean NO2;Cardiocirculatory_rate_per_10000;Cardiocirculatory acute event rate;15;-0.035714285714285705;0.8994469934720875;"very weak negative association; not statistically significant"
Winter;Industrial;PM25_mean;Monthly mean PM2.5;Respiratory_rate_per_10000;Respiratory acute event rate;15;0.01966041893191964;0.9445561781211986;"very weak positive association; not statistically significant"
Winter;Industrial;PM25_mean;Monthly mean PM2.5;Cardiocirculatory_rate_per_10000;Cardiocirculatory acute event rate;15;-0.12142857142857141;0.6664011137233892;"very weak negative association; not statistically significant"
Winter;Agricultural;NO2_mean;Monthly mean NO2;Respiratory_rate_per_10000;Respiratory acute event rate;15;-0.10357142857142855;0.7133796306287292;"very weak negative association; not statistically significant"
Winter;Agricultural;NO2_mean;Monthly mean NO2;Cardiocirculatory_rate_per_10000;Cardiocirculatory acute event rate;15;0.23571428571428568;0.39770294590327276;"weak positive association; not statistically significant"
Winter;Agricultural;PM25_mean;Monthly mean PM2.5;Respiratory_rate_per_10000;Respiratory acute event rate;15;-0.04285714285714285;0.8794603130258999;"very weak negative association; not statistically significant"
Winter;Agricultural;PM25_mean;Monthly mean PM2.5;Cardiocirculatory_rate_per_10000;Cardiocirculatory acute event rate;15;0.0035714285714285704;0.9899214068809781;"very weak positive association; not statistically significant"
Spring;Overall;NO2_mean;Monthly mean NO2;Respiratory_rate_per_10000;Respiratory acute event rate;30;0.0878754171301446;0.6442557464425088;"very weak positive association; not statistically significant"
Spring;Overall;NO2_mean;Monthly mean NO2;Cardiocirculatory_rate_per_10000;Cardiocirculatory acute event rate;30;-0.11857619577308119;0.5325753200749617;"very weak negative association; not statistically significant"
