Group;Pollutant;Lag_months;Available_values;Missing_values
Overall;NO2_mean;0;120;0
Overall;NO2_mean;1;116;4
Overall;NO2_mean;2;112;8
Overall;NO2_mean;3;108;12
Overall;PM25_mean;0;120;0
Overall;PM25_mean;1;116;4
Overall;PM25_mean;2;112;8
Overall;PM25_mean;3;108;12
Industrial;NO2_mean;0;60;0
Industrial;NO2_mean;1;58;2
Industrial;NO2_mean;2;56;4
Industrial;NO2_mean;3;54;6
Industrial;PM25_mean;0;60;0
Industrial;PM25_mean;1;58;2
Industrial;PM25_mean;2;56;4
Industrial;PM25_mean;3;54;6
Agricultural;NO2_mean;0;60;0
Agricultural;NO2_mean;1;58;2
Agricultural;NO2_mean;2;56;4
Agricultural;NO2_mean;3;54;6
Agricultural;PM25_mean;0;60;0
Agricultural;PM25_mean;1;58;2
Agricultural;PM25_mean;2;56;4
Agricultural;PM25_mean;3;54;6
