Group;Pollutant;Pollutant_label;Outcome;Outcome_label;Best_lag_months;Best_Spearman_rho;Best_p_value;N;Interpretation;Caution
Agricultural;NO2_mean;Monthly mean NO2;Cardiocirculatory_rate_per_10000;Cardiocirculatory acute event rate;0;0.2545641490491571;0.049665497505474686;60;"weak positive association; statistically significant at p < 0.05";Best lag is selected descriptively using the strongest absolute Spearman correlation. It should not be interpreted as a causal delay.
Agricultural;NO2_mean;Monthly mean NO2;Respiratory_rate_per_10000;Respiratory acute event rate;0;0.456795101597182;0.00024376841822447784;60;"moderate positive association; statistically significant at p < 0.05";Best lag is selected descriptively using the strongest absolute Spearman correlation. It should not be interpreted as a causal delay.
Agricultural;PM25_mean;Monthly mean PM2.5;Cardiocirculatory_rate_per_10000;Cardiocirculatory acute event rate;0;0.2110235787955175;0.1055591829272798;60;"weak positive association; not statistically significant";Best lag is selected descriptively using the strongest absolute Spearman correlation. It should not be interpreted as a causal delay.
Agricultural;PM25_mean;Monthly mean PM2.5;Respiratory_rate_per_10000;Respiratory acute event rate;1;0.4204713297898074;0.0010152109097062085;58;"moderate positive association; statistically significant at p < 0.05";Best lag is selected descriptively using the strongest absolute Spearman correlation. It should not be interpreted as a causal delay.
Industrial;NO2_mean;Monthly mean NO2;Cardiocirculatory_rate_per_10000;Cardiocirculatory acute event rate;0;0.37836561186075424;0.0028746787925753516;60;"weak positive association; statistically significant at p < 0.05";Best lag is selected descriptively using the strongest absolute Spearman correlation. It should not be interpreted as a causal delay.
Industrial;NO2_mean;Monthly mean NO2;Respiratory_rate_per_10000;Respiratory acute event rate;0;0.5100240358987829;3.145759922321826e-05;60;"moderate positive association; statistically significant at p < 0.05";Best lag is selected descriptively using the strongest absolute Spearman correlation. It should not be interpreted as a causal delay.
Industrial;PM25_mean;Monthly mean PM2.5;Cardiocirculatory_rate_per_10000;Cardiocirculatory acute event rate;0;0.43202689752283563;0.0005670424604195584;60;"moderate positive association; statistically significant at p < 0.05";Best lag is selected descriptively using the strongest absolute Spearman correlation. It should not be interpreted as a causal delay.
Industrial;PM25_mean;Monthly mean PM2.5;Respiratory_rate_per_10000;Respiratory acute event rate;0;0.4963598979353168;5.497674177762692e-05;60;"moderate positive association; statistically significant at p < 0.05";Best lag is selected descriptively using the strongest absolute Spearman correlation. It should not be interpreted as a causal delay.
Overall;NO2_mean;Monthly mean NO2;Cardiocirculatory_rate_per_10000;Cardiocirculatory acute event rate;0;0.2805442120447313;0.00191170941766619;120;"weak positive association; statistically significant at p < 0.05";Best lag is selected descriptively using the strongest absolute Spearman correlation. It should not be interpreted as a causal delay.
Overall;NO2_mean;Monthly mean NO2;Respiratory_rate_per_10000;Respiratory acute event rate;0;0.4847937662091103;2.0119946151050674e-08;120;"moderate positive association; statistically significant at p < 0.05";Best lag is selected descriptively using the strongest absolute Spearman correlation. It should not be interpreted as a causal delay.
Overall;PM25_mean;Monthly mean PM2.5;Cardiocirculatory_rate_per_10000;Cardiocirculatory acute event rate;0;0.2587273200939073;0.0043267537123328655;120;"weak positive association; statistically significant at p < 0.05";Best lag is selected descriptively using the strongest absolute Spearman correlation. It should not be interpreted as a causal delay.
Overall;PM25_mean;Monthly mean PM2.5;Respiratory_rate_per_10000;Respiratory acute event rate;0;0.4577130495562704;1.4720479885226675e-07;120;"moderate positive association; statistically significant at p < 0.05";Best lag is selected descriptively using the strongest absolute Spearman correlation. It should not be interpreted as a causal delay.
