Group;Pollutant;Pollutant_label;Outcome;Outcome_label;Lag_months;N;Spearman_rho;p_value;Interpretation
Overall;NO2_mean;Monthly mean NO2;Respiratory_rate_per_10000;Respiratory acute event rate;0;120;0.4847937662091103;2.0119946151050674e-08;"moderate positive association; statistically significant at p < 0.05"
Overall;NO2_mean;Monthly mean NO2;Respiratory_rate_per_10000;Respiratory acute event rate;1;116;0.44485706828582944;5.640996513388795e-07;"moderate positive association; statistically significant at p < 0.05"
Overall;NO2_mean;Monthly mean NO2;Respiratory_rate_per_10000;Respiratory acute event rate;2;112;0.32037329699154493;0.0005737889086826453;"weak positive association; statistically significant at p < 0.05"
Overall;NO2_mean;Monthly mean NO2;Respiratory_rate_per_10000;Respiratory acute event rate;3;108;0.10901330694905279;0.2614087603704165;"very weak positive association; not statistically significant"
Overall;NO2_mean;Monthly mean NO2;Cardiocirculatory_rate_per_10000;Cardiocirculatory acute event rate;0;120;0.2805442120447313;0.00191170941766619;"weak positive association; statistically significant at p < 0.05"
Overall;NO2_mean;Monthly mean NO2;Cardiocirculatory_rate_per_10000;Cardiocirculatory acute event rate;1;116;0.19011171511439368;0.04094634635798503;"very weak positive association; statistically significant at p < 0.05"
Overall;NO2_mean;Monthly mean NO2;Cardiocirculatory_rate_per_10000;Cardiocirculatory acute event rate;2;112;0.10068636203326818;0.29083239336144345;"very weak positive association; not statistically significant"
Overall;NO2_mean;Monthly mean NO2;Cardiocirculatory_rate_per_10000;Cardiocirculatory acute event rate;3;108;0.02186909032238582;0.8222495759648946;"very weak positive association; not statistically significant"
Overall;PM25_mean;Monthly mean PM2.5;Respiratory_rate_per_10000;Respiratory acute event rate;0;120;0.4577130495562704;1.4720479885226675e-07;"moderate positive association; statistically significant at p < 0.05"
Overall;PM25_mean;Monthly mean PM2.5;Respiratory_rate_per_10000;Respiratory acute event rate;1;116;0.42674427105833335;1.780333411666459e-06;"moderate positive association; statistically significant at p < 0.05"
Overall;PM25_mean;Monthly mean PM2.5;Respiratory_rate_per_10000;Respiratory acute event rate;2;112;0.30439137323431686;0.0011022820507748947;"weak positive association; statistically significant at p < 0.05"
Overall;PM25_mean;Monthly mean PM2.5;Respiratory_rate_per_10000;Respiratory acute event rate;3;108;0.06536526811045751;0.5015132304600637;"very weak positive association; not statistically significant"
Overall;PM25_mean;Monthly mean PM2.5;Cardiocirculatory_rate_per_10000;Cardiocirculatory acute event rate;0;120;0.2587273200939073;0.0043267537123328655;"weak positive association; statistically significant at p < 0.05"
Overall;PM25_mean;Monthly mean PM2.5;Cardiocirculatory_rate_per_10000;Cardiocirculatory acute event rate;1;116;0.16290052860285661;0.0806057208637123;"very weak positive association; not statistically significant"
Overall;PM25_mean;Monthly mean PM2.5;Cardiocirculatory_rate_per_10000;Cardiocirculatory acute event rate;2;112;0.12447225396585844;0.1910076017701245;"very weak positive association; not statistically significant"
Overall;PM25_mean;Monthly mean PM2.5;Cardiocirculatory_rate_per_10000;Cardiocirculatory acute event rate;3;108;0.01577664989239224;0.8712601712687087;"very weak positive association; not statistically significant"
Industrial;NO2_mean;Monthly mean NO2;Respiratory_rate_per_10000;Respiratory acute event rate;0;60;0.5100240358987829;3.145759922321826e-05;"moderate positive association; statistically significant at p < 0.05"
Industrial;NO2_mean;Monthly mean NO2;Respiratory_rate_per_10000;Respiratory acute event rate;1;58;0.45841728880611027;0.0002959705305484732;"moderate positive association; statistically significant at p < 0.05"
Industrial;NO2_mean;Monthly mean NO2;Respiratory_rate_per_10000;Respiratory acute event rate;2;56;0.3053813425753892;0.022097130747603423;"weak positive association; statistically significant at p < 0.05"
Industrial;NO2_mean;Monthly mean NO2;Respiratory_rate_per_10000;Respiratory acute event rate;3;54;0.09102864672665414;0.5127057360131262;"very weak positive association; not statistically significant"
Industrial;NO2_mean;Monthly mean NO2;Cardiocirculatory_rate_per_10000;Cardiocirculatory acute event rate;0;60;0.37836561186075424;0.0028746787925753516;"weak positive association; statistically significant at p < 0.05"
Industrial;NO2_mean;Monthly mean NO2;Cardiocirculatory_rate_per_10000;Cardiocirculatory acute event rate;1;58;0.2940199336939298;0.025077035232439045;"weak positive association; statistically significant at p < 0.05"
Industrial;NO2_mean;Monthly mean NO2;Cardiocirculatory_rate_per_10000;Cardiocirculatory acute event rate;2;56;0.20427902537649528;0.13099730494536235;"weak positive association; not statistically significant"
Industrial;NO2_mean;Monthly mean NO2;Cardiocirculatory_rate_per_10000;Cardiocirculatory acute event rate;3;54;0.07364488836638008;0.5966432483488562;"very weak positive association; not statistically significant"
Industrial;PM25_mean;Monthly mean PM2.5;Respiratory_rate_per_10000;Respiratory acute event rate;0;60;0.4963598979353168;5.497674177762692e-05;"moderate positive association; statistically significant at p < 0.05"
Industrial;PM25_mean;Monthly mean PM2.5;Respiratory_rate_per_10000;Respiratory acute event rate;1;58;0.44722675137290213;0.0004321343907711704;"moderate positive association; statistically significant at p < 0.05"
Industrial;PM25_mean;Monthly mean PM2.5;Respiratory_rate_per_10000;Respiratory acute event rate;2;56;0.3229544058212824;0.015194736760426375;"weak positive association; statistically significant at p < 0.05"
Industrial;PM25_mean;Monthly mean PM2.5;Respiratory_rate_per_10000;Respiratory acute event rate;3;54;0.11519841429480722;0.40682674428329624;"very weak positive association; not statistically significant"
Industrial;PM25_mean;Monthly mean PM2.5;Cardiocirculatory_rate_per_10000;Cardiocirculatory acute event rate;0;60;0.43202689752283563;0.0005670424604195584;"moderate positive association; statistically significant at p < 0.05"
Industrial;PM25_mean;Monthly mean PM2.5;Cardiocirculatory_rate_per_10000;Cardiocirculatory acute event rate;1;58;0.3944166731220991;0.0021866111657801294;"weak positive association; statistically significant at p < 0.05"
Industrial;PM25_mean;Monthly mean PM2.5;Cardiocirculatory_rate_per_10000;Cardiocirculatory acute event rate;2;56;0.2504913102541198;0.06259826414310608;"weak positive association; not statistically significant"
Industrial;PM25_mean;Monthly mean PM2.5;Cardiocirculatory_rate_per_10000;Cardiocirculatory acute event rate;3;54;0.0853107667831779;0.5396419490711708;"very weak positive association; not statistically significant"
Agricultural;NO2_mean;Monthly mean NO2;Respiratory_rate_per_10000;Respiratory acute event rate;0;60;0.456795101597182;0.00024376841822447784;"moderate positive association; statistically significant at p < 0.05"
Agricultural;NO2_mean;Monthly mean NO2;Respiratory_rate_per_10000;Respiratory acute event rate;1;58;0.42412589432580833;0.000907107926017001;"moderate positive association; statistically significant at p < 0.05"
Agricultural;NO2_mean;Monthly mean NO2;Respiratory_rate_per_10000;Respiratory acute event rate;2;56;0.3152569639591495;0.017949627369209444;"weak positive association; statistically significant at p < 0.05"
Agricultural;NO2_mean;Monthly mean NO2;Respiratory_rate_per_10000;Respiratory acute event rate;3;54;0.11364416280963358;0.41322834504590983;"very weak positive association; not statistically significant"
Agricultural;NO2_mean;Monthly mean NO2;Cardiocirculatory_rate_per_10000;Cardiocirculatory acute event rate;0;60;0.2545641490491571;0.049665497505474686;"weak positive association; statistically significant at p < 0.05"
Agricultural;NO2_mean;Monthly mean NO2;Cardiocirculatory_rate_per_10000;Cardiocirculatory acute event rate;1;58;0.14557312558150984;0.2755639819600498;"very weak positive association; not statistically significant"
Agricultural;NO2_mean;Monthly mean NO2;Cardiocirculatory_rate_per_10000;Cardiocirculatory acute event rate;2;56;0.04668808541908111;0.7325857270357106;"very weak positive association; not statistically significant"
Agricultural;NO2_mean;Monthly mean NO2;Cardiocirculatory_rate_per_10000;Cardiocirculatory acute event rate;3;54;0.020851599191465817;0.8810342913220944;"very weak positive association; not statistically significant"
Agricultural;PM25_mean;Monthly mean PM2.5;Respiratory_rate_per_10000;Respiratory acute event rate;0;60;0.41097679842618445;0.001106822013453099;"moderate positive association; statistically significant at p < 0.05"
Agricultural;PM25_mean;Monthly mean PM2.5;Respiratory_rate_per_10000;Respiratory acute event rate;1;58;0.4204713297898074;0.0010152109097062085;"moderate positive association; statistically significant at p < 0.05"
Agricultural;PM25_mean;Monthly mean PM2.5;Respiratory_rate_per_10000;Respiratory acute event rate;2;56;0.29539745012847984;0.02708608084187813;"weak positive association; statistically significant at p < 0.05"
Agricultural;PM25_mean;Monthly mean PM2.5;Respiratory_rate_per_10000;Respiratory acute event rate;3;54;0.0425832035754313;0.7598040822035388;"very weak positive association; not statistically significant"
Agricultural;PM25_mean;Monthly mean PM2.5;Cardiocirculatory_rate_per_10000;Cardiocirculatory acute event rate;0;60;0.2110235787955175;0.1055591829272798;"weak positive association; not statistically significant"
Agricultural;PM25_mean;Monthly mean PM2.5;Cardiocirculatory_rate_per_10000;Cardiocirculatory acute event rate;1;58;0.08527787630396112;0.5244635254681053;"very weak positive association; not statistically significant"
Agricultural;PM25_mean;Monthly mean PM2.5;Cardiocirculatory_rate_per_10000;Cardiocirculatory acute event rate;2;56;0.09276095448564137;0.4965225755849142;"very weak positive association; not statistically significant"
Agricultural;PM25_mean;Monthly mean PM2.5;Cardiocirculatory_rate_per_10000;Cardiocirculatory acute event rate;3;54;0.04616322965423236;0.7402907898659956;"very weak positive association; not statistically significant"
