Group;Pollutant;Lag_weeks;Available_values;Missing_values
Overall;NO2_mean;0;522;0
Overall;NO2_mean;1;518;4
Overall;NO2_mean;2;514;8
Overall;NO2_mean;3;510;12
Overall;NO2_mean;4;506;16
Overall;PM25_mean;0;520;2
Overall;PM25_mean;1;516;6
Overall;PM25_mean;2;512;10
Overall;PM25_mean;3;508;14
Overall;PM25_mean;4;504;18
Industrial;NO2_mean;0;261;0
Industrial;NO2_mean;1;259;2
Industrial;NO2_mean;2;257;4
Industrial;NO2_mean;3;255;6
Industrial;NO2_mean;4;253;8
Industrial;PM25_mean;0;260;1
Industrial;PM25_mean;1;258;3
Industrial;PM25_mean;2;256;5
Industrial;PM25_mean;3;254;7
Industrial;PM25_mean;4;252;9
Agricultural;NO2_mean;0;261;0
Agricultural;NO2_mean;1;259;2
Agricultural;NO2_mean;2;257;4
Agricultural;NO2_mean;3;255;6
Agricultural;NO2_mean;4;253;8
Agricultural;PM25_mean;0;260;1
Agricultural;PM25_mean;1;258;3
Agricultural;PM25_mean;2;256;5
Agricultural;PM25_mean;3;254;7
Agricultural;PM25_mean;4;252;9
