Group;Pollutant;Pollutant_label;Outcome;Outcome_label;Best_lag_weeks;Best_Spearman_rho;Best_p_value;N;Interpretation;Caution
Agricultural;NO2_mean;Weekly mean NO2;Cardiocirculatory_rate_per_10000;Cardiocirculatory acute event rate;1;0.14869556671363376;0.016630265071951013;259;"very weak positive association; statistically significant at p < 0.05";Best lag is selected descriptively using the strongest absolute Spearman correlation. It should not be interpreted as a causal delay.
Agricultural;NO2_mean;Weekly mean NO2;Respiratory_rate_per_10000;Respiratory acute event rate;0;0.30065831803245713;7.461586647500834e-07;261;"weak positive association; statistically significant at p < 0.05";Best lag is selected descriptively using the strongest absolute Spearman correlation. It should not be interpreted as a causal delay.
Agricultural;PM25_mean;Weekly mean PM2.5;Cardiocirculatory_rate_per_10000;Cardiocirculatory acute event rate;1;0.14955394615521786;0.016213968894401565;258;"very weak positive association; statistically significant at p < 0.05";Best lag is selected descriptively using the strongest absolute Spearman correlation. It should not be interpreted as a causal delay.
Agricultural;PM25_mean;Weekly mean PM2.5;Respiratory_rate_per_10000;Respiratory acute event rate;1;0.2834497198799082;3.7280700844864055e-06;258;"weak positive association; statistically significant at p < 0.05";Best lag is selected descriptively using the strongest absolute Spearman correlation. It should not be interpreted as a causal delay.
Industrial;NO2_mean;Weekly mean NO2;Cardiocirculatory_rate_per_10000;Cardiocirculatory acute event rate;2;0.3456725515535075;1.263458218973304e-08;257;"weak positive association; statistically significant at p < 0.05";Best lag is selected descriptively using the strongest absolute Spearman correlation. It should not be interpreted as a causal delay.
Industrial;NO2_mean;Weekly mean NO2;Respiratory_rate_per_10000;Respiratory acute event rate;2;0.4435049364859542;8.25742811554981e-14;257;"moderate positive association; statistically significant at p < 0.05";Best lag is selected descriptively using the strongest absolute Spearman correlation. It should not be interpreted as a causal delay.
Industrial;PM25_mean;Weekly mean PM2.5;Cardiocirculatory_rate_per_10000;Cardiocirculatory acute event rate;1;0.36812124422968573;1.06248868574317e-09;258;"weak positive association; statistically significant at p < 0.05";Best lag is selected descriptively using the strongest absolute Spearman correlation. It should not be interpreted as a causal delay.
Industrial;PM25_mean;Weekly mean PM2.5;Respiratory_rate_per_10000;Respiratory acute event rate;1;0.41234441019045925;5.180826295434297e-12;258;"moderate positive association; statistically significant at p < 0.05";Best lag is selected descriptively using the strongest absolute Spearman correlation. It should not be interpreted as a causal delay.
Overall;NO2_mean;Weekly mean NO2;Cardiocirculatory_rate_per_10000;Cardiocirculatory acute event rate;1;0.20886972623228742;1.624310574903374e-06;518;"weak positive association; statistically significant at p < 0.05";Best lag is selected descriptively using the strongest absolute Spearman correlation. It should not be interpreted as a causal delay.
Overall;NO2_mean;Weekly mean NO2;Respiratory_rate_per_10000;Respiratory acute event rate;1;0.35613287313077086;6.188881801703023e-17;518;"weak positive association; statistically significant at p < 0.05";Best lag is selected descriptively using the strongest absolute Spearman correlation. It should not be interpreted as a causal delay.
Overall;PM25_mean;Weekly mean PM2.5;Cardiocirculatory_rate_per_10000;Cardiocirculatory acute event rate;1;0.2117186391639335;1.2174384990055834e-06;516;"weak positive association; statistically significant at p < 0.05";Best lag is selected descriptively using the strongest absolute Spearman correlation. It should not be interpreted as a causal delay.
Overall;PM25_mean;Weekly mean PM2.5;Respiratory_rate_per_10000;Respiratory acute event rate;1;0.34243625994749954;1.2140882220331538e-15;516;"weak positive association; statistically significant at p < 0.05";Best lag is selected descriptively using the strongest absolute Spearman correlation. It should not be interpreted as a causal delay.
