Group;Pollutant;Pollutant_label;Outcome;Outcome_label;Lag_weeks;N;Spearman_rho;p_value;Interpretation
Overall;NO2_mean;Weekly mean NO2;Respiratory_rate_per_10000;Respiratory acute event rate;0;522;0.33551320385672573;3.36257486602602e-15;"weak positive association; statistically significant at p < 0.05"
Overall;NO2_mean;Weekly mean NO2;Respiratory_rate_per_10000;Respiratory acute event rate;1;518;0.35613287313077086;6.188881801703023e-17;"weak positive association; statistically significant at p < 0.05"
Overall;NO2_mean;Weekly mean NO2;Respiratory_rate_per_10000;Respiratory acute event rate;2;514;0.35130419372648913;2.2434736644596924e-16;"weak positive association; statistically significant at p < 0.05"
Overall;NO2_mean;Weekly mean NO2;Respiratory_rate_per_10000;Respiratory acute event rate;3;510;0.3266157125765529;3.836701776845708e-14;"weak positive association; statistically significant at p < 0.05"
Overall;NO2_mean;Weekly mean NO2;Respiratory_rate_per_10000;Respiratory acute event rate;4;506;0.3179786635511113;2.3702107849180674e-13;"weak positive association; statistically significant at p < 0.05"
Overall;NO2_mean;Weekly mean NO2;Cardiocirculatory_rate_per_10000;Cardiocirculatory acute event rate;0;522;0.202746245876217;3.016578807516522e-06;"weak positive association; statistically significant at p < 0.05"
Overall;NO2_mean;Weekly mean NO2;Cardiocirculatory_rate_per_10000;Cardiocirculatory acute event rate;1;518;0.20886972623228742;1.624310574903374e-06;"weak positive association; statistically significant at p < 0.05"
Overall;NO2_mean;Weekly mean NO2;Cardiocirculatory_rate_per_10000;Cardiocirculatory acute event rate;2;514;0.20771957287385934;2.036516009252799e-06;"weak positive association; statistically significant at p < 0.05"
Overall;NO2_mean;Weekly mean NO2;Cardiocirculatory_rate_per_10000;Cardiocirculatory acute event rate;3;510;0.1769502809575359;5.8683101031028873e-05;"very weak positive association; statistically significant at p < 0.05"
Overall;NO2_mean;Weekly mean NO2;Cardiocirculatory_rate_per_10000;Cardiocirculatory acute event rate;4;506;0.16652617419308968;0.00016791707324730927;"very weak positive association; statistically significant at p < 0.05"
Overall;PM25_mean;Weekly mean PM2.5;Respiratory_rate_per_10000;Respiratory acute event rate;0;520;0.30564031707530465;1.0478042802747875e-12;"weak positive association; statistically significant at p < 0.05"
Overall;PM25_mean;Weekly mean PM2.5;Respiratory_rate_per_10000;Respiratory acute event rate;1;516;0.34243625994749954;1.2140882220331538e-15;"weak positive association; statistically significant at p < 0.05"
Overall;PM25_mean;Weekly mean PM2.5;Respiratory_rate_per_10000;Respiratory acute event rate;2;512;0.29726445908005833;6.61699559048055e-12;"weak positive association; statistically significant at p < 0.05"
Overall;PM25_mean;Weekly mean PM2.5;Respiratory_rate_per_10000;Respiratory acute event rate;3;508;0.28363511968000193;7.452640746893135e-11;"weak positive association; statistically significant at p < 0.05"
Overall;PM25_mean;Weekly mean PM2.5;Respiratory_rate_per_10000;Respiratory acute event rate;4;504;0.27947969630311353;1.6981284568182835e-10;"weak positive association; statistically significant at p < 0.05"
Overall;PM25_mean;Weekly mean PM2.5;Cardiocirculatory_rate_per_10000;Cardiocirculatory acute event rate;0;520;0.19939478194763335;4.604416729246589e-06;"very weak positive association; statistically significant at p < 0.05"
Overall;PM25_mean;Weekly mean PM2.5;Cardiocirculatory_rate_per_10000;Cardiocirculatory acute event rate;1;516;0.2117186391639335;1.2174384990055834e-06;"weak positive association; statistically significant at p < 0.05"
