Date;Year;Month;Season;SeasonYear;Area;Pollutant;Arithmetic_mean;Population_weighted_mean
2016-01-01;2016;1;Winter;2016;Agricultural;NO2;25.46190476190477;25.82343986073704
2016-01-02;2016;1;Winter;2016;Agricultural;NO2;29.81428571428572;30.44465611246141
2016-01-03;2016;1;Winter;2016;Agricultural;NO2;29.104761904761908;29.3443670761348
2016-01-04;2016;1;Winter;2016;Agricultural;NO2;26.433333333333334;26.2326594626552
2016-01-05;2016;1;Winter;2016;Agricultural;NO2;27.604761904761908;28.210232871313146
2016-01-06;2016;1;Winter;2016;Agricultural;NO2;27.87142857142857;27.72326742429219
2016-01-07;2016;1;Winter;2016;Agricultural;NO2;30.866666666666667;30.879227156276688
2016-01-08;2016;1;Winter;2016;Agricultural;NO2;36.57619047619048;36.36296722065296
2016-01-09;2016;1;Winter;2016;Agricultural;NO2;40.07619047619048;40.26580174735597
2016-01-10;2016;1;Winter;2016;Agricultural;NO2;36.35714285714285;36.73654010379032
2016-01-11;2016;1;Winter;2016;Agricultural;NO2;32.34761904761905;32.542033436247785
2016-01-12;2016;1;Winter;2016;Agricultural;NO2;32.01428571428571;31.64228962753728
2016-01-13;2016;1;Winter;2016;Agricultural;NO2;26.23333333333333;25.42253826446824
2016-01-14;2016;1;Winter;2016;Agricultural;NO2;37.95238095238095;38.73948137686396
2016-01-15;2016;1;Winter;2016;Agricultural;NO2;37.304761904761904;37.10421401826184
2016-01-16;2016;1;Winter;2016;Agricultural;NO2;40.54285714285714;40.438622479143405
2016-01-17;2016;1;Winter;2016;Agricultural;NO2;22.723809523809525;21.9626502660448
2016-01-18;2016;1;Winter;2016;Agricultural;NO2;41.6;42.538936149247846
2016-01-19;2016;1;Winter;2016;Agricultural;NO2;53.53333333333334;53.64877159561191
2016-01-20;2016;1;Winter;2016;Agricultural;NO2;58.56190476190476;58.10498259213032
2016-01-21;2016;1;Winter;2016;Agricultural;NO2;62.27619047619047;61.79700617486697
2016-01-22;2016;1;Winter;2016;Agricultural;NO2;63.29047619047618;63.49532779347041
2016-01-23;2016;1;Winter;2016;Agricultural;NO2;60.81428571428571;60.729148328187605
2016-01-24;2016;1;Winter;2016;Agricultural;NO2;56.82857142857144;56.723863561715824
2016-01-25;2016;1;Winter;2016;Agricultural;NO2;61.209523809523816;61.22607567496552
2016-01-26;2016;1;Winter;2016;Agricultural;NO2;60.22857142857143;60.16551928003678
2016-01-27;2016;1;Winter;2016;Agricultural;NO2;56.94761904761905;57.38051468173159
2016-01-28;2016;1;Winter;2016;Agricultural;NO2;58.62857142857143;58.84971589042895
2016-01-29;2016;1;Winter;2016;Agricultural;NO2;47.48095238095238;48.12172534979965
2016-01-30;2016;1;Winter;2016;Agricultural;NO2;47.13809523809524;48.03908559416672
2016-01-31;2016;1;Winter;2016;Agricultural;NO2;37.595238095238095;37.60082605268344
2016-02-01;2016;2;Winter;2016;Agricultural;NO2;44.71904761904762;45.35815706496748
2016-02-02;2016;2;Winter;2016;Agricultural;NO2;31.19047619047619;30.75283616895487
2016-02-03;2016;2;Winter;2016;Agricultural;NO2;35.50476190476191;34.83092688694738
