Temporal_scale;Column;Missing_values;Total_rows;Missing_percentage
Monthly;MonthPeriod;0;120;0.0
Monthly;Year;0;120;0.0
Monthly;Month;0;120;0.0
Monthly;Season;0;120;0.0
Monthly;Area;0;120;0.0
Monthly;Population;0;120;0.0
Monthly;Respiratory_rate_per_10000;0;120;0.0
Monthly;Cardiocirculatory_rate_per_10000;0;120;0.0
Monthly;NO2_population_weighted_mean;0;120;0.0
Monthly;NO2_arithmetic_mean;0;120;0.0
Monthly;PM25_population_weighted_mean;0;120;0.0
Monthly;PM25_arithmetic_mean;0;120;0.0
Monthly;TimeLabel;0;120;0.0
Seasonal;SeasonYear;0;36;0.0
Seasonal;Season;0;36;0.0
Seasonal;Area;0;36;0.0
Seasonal;Population;0;36;0.0
Seasonal;Respiratory_rate_per_10000;0;36;0.0
Seasonal;Cardiocirculatory_rate_per_10000;0;36;0.0
Seasonal;NO2_population_weighted_mean;0;36;0.0
Seasonal;NO2_arithmetic_mean;0;36;0.0
Seasonal;PM25_population_weighted_mean;0;36;0.0
Seasonal;PM25_arithmetic_mean;0;36;0.0
Seasonal;TimeLabel;0;36;0.0
