Temporal_scale;Group;Pollutant;Outcome;Correlation_method;N_population_weighted;Correlation_population_weighted;P_value_population_weighted;N_arithmetic;Correlation_arithmetic;P_value_arithmetic;Correlation_difference_population_weighted_minus_arithmetic;Absolute_correlation_difference;Sensitivity_interpretation
Monthly;Overall;NO2;Respiratory;Spearman;120;0.3235292075681221;0.0003128380346126094;120;0.32214713835324027;0.00033302627581476956;0.0013820692148818203;0.0013820692148818203;Very similar correlation pattern
Monthly;Overall;NO2;Cardiocirculatory;Spearman;120;0.4330395588939005;7.814666047289544e-07;120;0.4062942745620708;4.137375590319858e-06;0.02674528433182971;0.02674528433182971;Very similar correlation pattern
Monthly;Overall;PM25;Respiratory;Spearman;120;0.45021425555133765;2.4793237120116466e-07;120;0.4430816671911183;4.024543367838494e-07;0.00713258836021935;0.00713258836021935;Very similar correlation pattern
Monthly;Overall;PM25;Cardiocirculatory;Spearman;120;0.2210913409664067;0.015237082673323486;120;0.22906770010821567;0.011849245741792486;-0.00797635914180897;0.00797635914180897;Very similar correlation pattern
Monthly;Industrial;NO2;Respiratory;Spearman;60;0.29326034731003836;0.0229629511473227;60;0.2762271283503024;0.032647299747590106;0.017033218959735974;0.017033218959735974;Very similar correlation pattern
Monthly;Industrial;NO2;Cardiocirculatory;Spearman;60;0.3749201146241578;0.0031622699130691065;60;0.361499347162254;0.00454091162194033;0.013420767461903793;0.013420767461903793;Very similar correlation pattern
Monthly;Industrial;PM25;Respiratory;Spearman;60;0.425469247490175;0.0007016469427235561;60;0.40907512157460535;0.0011732946467558419;0.016394125915569657;0.016394125915569657;Very similar correlation pattern
Monthly;Industrial;PM25;Cardiocirculatory;Spearman;60;0.3874239352408384;0.0022263579901614134;60;0.3855622552823548;0.0023477983058466283;0.0018616799584835753;0.0018616799584835753;Very similar correlation pattern
Monthly;Agricultural;NO2;Respiratory;Spearman;60;0.3961873563372079;0.001726725026803133;60;0.4079420909749746;0.0012145862111481256;-0.011754734637766662;0.011754734637766662;Very similar correlation pattern
Monthly;Agricultural;NO2;Cardiocirculatory;Spearman;60;0.28076805610661315;0.029781389715403686;60;0.2714869267776732;0.03588071346514328;0.00928112932893993;0.00928112932893993;Very similar correlation pattern
Monthly;Agricultural;PM25;Respiratory;Spearman;60;0.44381765224532144;0.00038242636306497175;60;0.44731906256295406;0.00033927018446939025;-0.003501410317632625;0.003501410317632625;Very similar correlation pattern
Monthly;Agricultural;PM25;Cardiocirculatory;Spearman;60;0.1252118825036024;0.34046698508587014;60;0.1259343656250169;0.33766586477389376;-0.0007224831214144856;0.0007224831214144856;Very similar correlation pattern
Seasonal;Overall;NO2;Respiratory;Spearman;36;0.2790218790218791;0.09936041630561791;36;0.2628056628056628;0.12149043907766066;0.016216216216216273;0.016216216216216273;Very similar correlation pattern
Seasonal;Overall;NO2;Cardiocirculatory;Spearman;36;0.5039897039897041;0.0017249189001204734;36;0.4808236808236809;0.0029934597131660284;0.02316602316602323;0.02316602316602323;Very similar correlation pattern
Seasonal;Overall;PM25;Respiratory;Spearman;36;0.4525096525096525;0.00558832671399973;36;0.44633204633204643;0.006360505103886906;0.006177606177606099;0.006177606177606099;Very similar correlation pattern
Seasonal;Overall;PM25;Cardiocirculatory;Spearman;36;0.15186615186615188;0.376597242620258;36;0.155984555984556;0.36363753485585343;-0.004118404118404112;0.004118404118404112;Very similar correlation pattern
Seasonal;Industrial;NO2;Respiratory;Spearman;18;0.1455108359133127;0.5645405304670835;18;0.1455108359133127;0.5645405304670835;0.0;0.0;Very similar correlation pattern
Seasonal;Industrial;NO2;Cardiocirculatory;Spearman;18;0.3787409700722394;0.12116422586370856;18;0.3787409700722394;0.12116422586370856;0.0;0.0;Very similar correlation pattern
Seasonal;Industrial;PM25;Respiratory;Spearman;18;0.283797729618163;0.25375641790875597;18;0.2693498452012384;0.27976422005657137;0.014447884416924628;0.014447884416924628;Very similar correlation pattern
Seasonal;Industrial;PM25;Cardiocirculatory;Spearman;18;0.4447884416924664;0.06438522410365065;18;0.4303405572755417;0.07464277608599117;0.014447884416924683;0.014447884416924683;Very similar correlation pattern
Seasonal;Agricultural;NO2;Respiratory;Spearman;18;0.5356037151702786;0.021973121639608066;18;0.5170278637770898;0.02800614736378717;0.018575851393188847;0.018575851393188847;Very similar correlation pattern
Seasonal;Agricultural;NO2;Cardiocirculatory;Spearman;18;0.1393188854489164;0.5813962095847576;18;0.1455108359133127;0.5645405304670835;-0.006191950464396301;0.006191950464396301;Very similar correlation pattern
Seasonal;Agricultural;PM25;Respiratory;Spearman;18;0.6099071207430341;0.0071966585949820045;18;0.6160990712074303;0.0064779683582406496;-0.006191950464396245;0.006191950464396245;Very similar correlation pattern
Seasonal;Agricultural;PM25;Cardiocirculatory;Spearman;18;0.12899896800825592;0.6099496263278285;18;0.11455108359133126;0.6508342238705321;0.014447884416924656;0.014447884416924656;Very similar correlation pattern
