MonthPeriod;Year;Month;Season;Area;Population;Respiratory_rate_per_10000;Cardiocirculatory_rate_per_10000;NO2_population_weighted_mean;NO2_arithmetic_mean;PM25_population_weighted_mean;PM25_arithmetic_mean;TimeLabel
2016-01-01;2016;1;Winter;Agricultural;60892;8.211259278722986;15.601392629573672;44.915966890041695;44.372350230414746;33.307463060284896;32.65284178187404;2016-01
2016-02-01;2016;2;Winter;Agricultural;60892;8.539709649871904;14.451816330552454;32.84017720851559;32.401313628899835;22.38700554738826;22.088669950738915;2016-02
2016-03-01;2016;3;Spring;Agricultural;60892;5.912106680680549;15.765617815148133;22.44086473338548;22.118125960061445;27.899565957759247;27.68817204301076;2016-03
2016-04-01;2016;4;Spring;Agricultural;60892;4.105629639361493;11.49576299021218;14.932545449239838;14.74190476190476;21.621707179472214;21.311111111111117;2016-04
2016-05-01;2016;5;Spring;Agricultural;60892;6.240557051829469;13.630690402680154;13.81703524016345;13.9357910906298;15.517089177748346;15.427035330261138;2016-05
2016-06-01;2016;6;Summer;Agricultural;60892;3.1202785259147343;12.316888918084477;13.669765288355851;14.18793650793651;15.06601641911543;14.882539682539685;2016-06
2016-07-01;2016;7;Summer;Agricultural;60892;4.926755567233792;15.929843000722592;14.258607798452282;14.700921658986177;14.470058051149396;14.302611367127495;2016-07
2016-08-01;2016;8;Summer;Agricultural;60892;4.598305196084872;14.123365959403534;15.175178356438012;15.177112135176651;13.019446240795077;12.588325652841782;2016-08
2016-09-01;2016;9;Autumn;Agricultural;60892;5.912106680680549;14.451816330552454;20.51842024375772;20.69269841269841;24.29815041777311;24.16031746031746;2016-09
2016-10-01;2016;10;Autumn;Agricultural;60892;5.58365630953163;15.108717072850292;23.8853333069764;23.57557603686636;26.95065981762884;26.75268817204301;2016-10
2016-11-01;2016;11;Autumn;Agricultural;60892;7.225908165276227;12.152663732510018;36.91469535148385;36.3515873015873;27.358660402501773;26.831746031746032;2016-11
2016-12-01;2016;12;Winter;Agricultural;60892;6.733232608552847;10.83886224791434;43.892640955476544;43.23041474654378;37.77132723170287;36.465437788018434;2016-12
2017-01-01;2017;1;Winter;Agricultural;60562;10.23744262078531;17.99808460750966;45.0012270197016;44.29692780337942;35.15673590330341;34.57757296466974;2017-01
2017-02-01;2017;2;Winter;Agricultural;60562;6.769921733099964;13.374723423929195;33.92476949061617;32.5234693877551;38.68020018692216;37.984693877551024;2017-02
2017-03-01;2017;3;Spring;Agricultural;60562;6.935041775370694;11.88864304349262;26.734781993553305;26.73794162826421;34.328397998989274;34.09831029185868;2017-03
2017-04-01;2017;4;Spring;Agricultural;60562;4.953601268121925;13.374723423929195;16.45946150912398;16.336666666666666;19.27943046020849;19.17619047619048;2017-04
2017-05-01;2017;5;Spring;Agricultural;60562;4.623361183580463;14.860803804365773;15.47162163824709;15.512596006144394;12.36445811637736;12.32258064516129;2017-05
2017-06-01;2017;6;Summer;Agricultural;60562;5.614081437204849;15.85152405799016;19.51375344716306;20.20825396825397;12.591838780339923;12.607936507936508;2017-06
2017-07-01;2017;7;Summer;Agricultural;60562;4.293121099039001;14.200323635282851;17.00734030431565;17.520583717357912;12.540425735284376;12.448540706605224;2017-07
2017-08-01;2017;8;Summer;Agricultural;60562;4.458241141309732;11.88864304349262;15.67605307637418;16.048847926267282;14.776947020155848;14.688172043010754;2017-08
2017-09-01;2017;9;Autumn;Agricultural;60562;4.788481225851194;10.567682705326773;17.57949642081793;17.50952380952381;16.361186899802462;16.434920634920633;2017-09
2017-10-01;2017;10;Autumn;Agricultural;60562;5.118721310392655;15.686404015719429;25.680027037871948;25.636405529953915;34.51088470718278;34.66666666666667;2017-10
2017-11-01;2017;11;Autumn;Agricultural;60562;7.430401902182886;16.51200422707308;36.14106529562479;35.39730158730159;25.80556777953803;25.257142857142856;2017-11
2017-12-01;2017;12;Winter;Agricultural;60562;7.100161817641426;21.30048545292428;44.53672925030237;43.96190476190476;29.07148048673848;27.992319508448546;2017-12
2018-01-01;2018;1;Winter;Agricultural;60224;11.78931987247609;20.257704569606805;38.24920707153099;37.339170506912446;26.736577266044844;26.07834101382489;2018-01
2018-02-01;2018;2;Winter;Agricultural;60224;4.649309245483528;13.11769394261424;29.724702354546647;29.016836734693875;27.465536289930757;27.115646258503403;2018-02
2018-03-01;2018;3;Spring;Agricultural;60224;7.306057385759829;14.113974495217851;24.09067184505292;23.722427035330263;30.4128484654213;30.164362519201227;2018-03
2018-04-01;2018;4;Spring;Agricultural;60224;7.140010626992561;13.947927736450586;17.464472047240214;17.382698412698414;23.064095170496557;22.904761904761905;2018-04
2018-05-01;2018;5;Spring;Agricultural;60224;6.807917109458024;18.597236981934117;13.517413516274996;13.606605222734254;21.58083596402605;21.46390168970814;2018-05
2018-06-01;2018;6;Summer;Agricultural;60224;5.811636556854411;15.276301806588735;15.7889797809521;16.48047619047619;16.03110539338913;15.86190476190476;2018-06
2018-07-01;2018;7;Summer;Agricultural;60224;5.313496280552603;13.615834218916048;13.275313751248566;13.65268817204301;12.786790822006807;12.740399385560677;2018-07
2018-08-01;2018;8;Summer;Agricultural;60224;5.313496280552603;11.78931987247609;13.15346960464719;13.338863287250383;12.561632145681704;12.546850998463905;2018-08
2018-09-01;2018;9;Autumn;Agricultural;60224;7.140010626992561;10.793039319872475;16.806734342807008;16.997619047619047;26.6268156231824;26.365079365079364;2018-09
2018-10-01;2018;10;Autumn;Agricultural;60224;4.981402763018067;14.280021253985122;24.91651879454648;24.485407066052225;21.256322010144984;21.28878648233487;2018-10
2018-11-01;2018;11;Autumn;Agricultural;60224;5.811636556854411;13.781880977683317;24.958306864223815;24.166507936507934;25.07541921746074;24.568253968253966;2018-11
2018-12-01;2018;12;Winter;Agricultural;60224;5.313496280552603;15.276301806588735;35.82489856449562;34.790783410138246;34.71624341849814;33.907834101382484;2018-12
2019-01-01;2019;1;Winter;Agricultural;60103;9.317338568790245;16.138961449511672;36.89197317421437;36.35176651305684;28.379744889604773;28.175115207373278;2019-01
2019-02-01;2019;2;Winter;Agricultural;60103;8.485433339433971;15.806199357769165;44.42010319304351;43.61904761904761;33.90490584506879;33.68707482993197;2019-02
2019-03-01;2019;3;Spring;Agricultural;60103;5.656955559622648;13.310483669700346;29.010983429138573;29.19800307219662;22.91483701015085;22.827956989247312;2019-03
2019-04-01;2019;4;Spring;Agricultural;60103;7.819909155948954;13.80962680731411;15.057170531736988;14.963015873015872;18.283294115325607;18.1968253968254;2019-04
2019-05-01;2019;5;Spring;Agricultural;60103;6.9880039265926825;14.475150990799127;11.44717055083279;11.064669738863287;14.132938304798632;14.01536098310292;2019-05
2019-06-01;2019;6;Summer;Agricultural;60103;7.487147064206446;15.806199357769165;17.17623309802529;17.835873015873016;12.167417481858587;12.104761904761906;2019-06
2019-07-01;2019;7;Summer;Agricultural;60103;5.157812422008885;14.308769944927874;16.86453756407239;17.825038402457757;11.673578233838624;11.655913978494626;2019-07
2019-08-01;2019;8;Summer;Agricultural;60103;5.324193467880139;13.144102623829092;13.314346009287243;14.001228878648234;10.171302730079375;10.221198156682028;2019-08
2019-09-01;2019;9;Autumn;Agricultural;60103;5.324193467880139;16.305342495382927;16.611781780152235;16.66111111111111;14.660471701370904;14.631746031746031;2019-09
2019-10-01;2019;10;Autumn;Agricultural;60103;5.823336605493902;17.470009816481706;20.219968434635778;20.11720430107527;18.99407504937459;19.04608294930876;2019-10
2019-11-01;2019;11;Autumn;Agricultural;60103;7.6535281100777;14.641532036670382;27.621028893065564;27.12079365079365;14.915479520307034;14.598412698412698;2019-11
