MonthPeriod;Year;Month;Season;Area;Population;Cardiocirculatory_rate_per_10000;Respiratory_rate_per_10000;TimeLabel
2016-01-01;2016;1;Winter;Agricultural;60892;15.601392629573672;8.211259278722986;2016-01
2016-02-01;2016;2;Winter;Agricultural;60892;14.451816330552454;8.539709649871904;2016-02
2016-03-01;2016;3;Spring;Agricultural;60892;15.765617815148133;5.912106680680549;2016-03
2016-04-01;2016;4;Spring;Agricultural;60892;11.49576299021218;4.105629639361493;2016-04
2016-05-01;2016;5;Spring;Agricultural;60892;13.630690402680154;6.240557051829469;2016-05
2016-06-01;2016;6;Summer;Agricultural;60892;12.316888918084477;3.1202785259147343;2016-06
2016-07-01;2016;7;Summer;Agricultural;60892;15.929843000722592;4.926755567233792;2016-07
2016-08-01;2016;8;Summer;Agricultural;60892;14.123365959403534;4.598305196084872;2016-08
2016-09-01;2016;9;Autumn;Agricultural;60892;14.451816330552454;5.912106680680549;2016-09
2016-10-01;2016;10;Autumn;Agricultural;60892;15.108717072850292;5.58365630953163;2016-10
2016-11-01;2016;11;Autumn;Agricultural;60892;12.152663732510018;7.225908165276227;2016-11
2016-12-01;2016;12;Winter;Agricultural;60892;10.83886224791434;6.733232608552847;2016-12
2017-01-01;2017;1;Winter;Agricultural;60562;17.99808460750966;10.23744262078531;2017-01
2017-02-01;2017;2;Winter;Agricultural;60562;13.374723423929195;6.769921733099964;2017-02
2017-03-01;2017;3;Spring;Agricultural;60562;11.88864304349262;6.935041775370694;2017-03
2017-04-01;2017;4;Spring;Agricultural;60562;13.374723423929195;4.953601268121925;2017-04
2017-05-01;2017;5;Spring;Agricultural;60562;14.860803804365773;4.623361183580463;2017-05
2017-06-01;2017;6;Summer;Agricultural;60562;15.85152405799016;5.614081437204849;2017-06
2017-07-01;2017;7;Summer;Agricultural;60562;14.200323635282851;4.293121099039001;2017-07
2017-08-01;2017;8;Summer;Agricultural;60562;11.88864304349262;4.458241141309732;2017-08
2017-09-01;2017;9;Autumn;Agricultural;60562;10.567682705326773;4.788481225851194;2017-09
2017-10-01;2017;10;Autumn;Agricultural;60562;15.686404015719429;5.118721310392655;2017-10
2017-11-01;2017;11;Autumn;Agricultural;60562;16.51200422707308;7.430401902182886;2017-11
2017-12-01;2017;12;Winter;Agricultural;60562;21.30048545292428;7.100161817641426;2017-12
2018-01-01;2018;1;Winter;Agricultural;60224;20.257704569606805;11.78931987247609;2018-01
2018-02-01;2018;2;Winter;Agricultural;60224;13.11769394261424;4.649309245483528;2018-02
2018-03-01;2018;3;Spring;Agricultural;60224;14.113974495217851;7.306057385759829;2018-03
2018-04-01;2018;4;Spring;Agricultural;60224;13.947927736450586;7.140010626992561;2018-04
2018-05-01;2018;5;Spring;Agricultural;60224;18.597236981934117;6.807917109458024;2018-05
2018-06-01;2018;6;Summer;Agricultural;60224;15.276301806588735;5.811636556854411;2018-06
2018-07-01;2018;7;Summer;Agricultural;60224;13.615834218916048;5.313496280552603;2018-07
2018-08-01;2018;8;Summer;Agricultural;60224;11.78931987247609;5.313496280552603;2018-08
2018-09-01;2018;9;Autumn;Agricultural;60224;10.793039319872475;7.140010626992561;2018-09
2018-10-01;2018;10;Autumn;Agricultural;60224;14.280021253985122;4.981402763018067;2018-10
2018-11-01;2018;11;Autumn;Agricultural;60224;13.781880977683317;5.811636556854411;2018-11
2018-12-01;2018;12;Winter;Agricultural;60224;15.276301806588735;5.313496280552603;2018-12
2019-01-01;2019;1;Winter;Agricultural;60103;16.138961449511672;9.317338568790245;2019-01
2019-02-01;2019;2;Winter;Agricultural;60103;15.806199357769165;8.485433339433971;2019-02
2019-03-01;2019;3;Spring;Agricultural;60103;13.310483669700346;5.656955559622648;2019-03
2019-04-01;2019;4;Spring;Agricultural;60103;13.80962680731411;7.819909155948954;2019-04
2019-05-01;2019;5;Spring;Agricultural;60103;14.475150990799127;6.9880039265926825;2019-05
