SeasonYear;Season;Area;Population;Cardiocirculatory_rate_per_10000;Respiratory_rate_per_10000;TimeLabel
2016;Spring;Agricultural;60892;40.89207120804046;16.25829337187151;2016-Spring
2016;Summer;Agricultural;60892;42.3700978782106;12.645339289233396;2016-Summer
2016;Autumn;Agricultural;60892;41.71319713591276;18.721671155488405;2016-Autumn
2017;Winter;Agricultural;60562;42.27073082130709;23.77728608698524;2017-Winter
2017;Spring;Agricultural;60562;40.12417027178759;16.51200422707308;2017-Spring
2017;Summer;Agricultural;60562;41.94049073676563;14.365443677553582;2017-Summer
2017;Autumn;Agricultural;60562;42.76609094811928;17.337604438426734;2017-Autumn
2018;Winter;Agricultural;60224;54.79543039319873;23.57863974495218;2018-Winter
2018;Spring;Agricultural;60224;46.65913921360255;21.253985122210413;2018-Spring
2018;Summer;Agricultural;60224;40.68145589798088;16.438629117959618;2018-Summer
2018;Autumn;Agricultural;60224;38.85494155154092;17.933049946865037;2018-Autumn
2019;Winter;Agricultural;60103;47.25221702743624;23.12696537610435;2019-Winter
2019;Spring;Agricultural;60103;41.59526146781359;20.464868642164287;2019-Spring
2019;Summer;Agricultural;60103;43.25907192652613;17.96915295409547;2019-Summer
2019;Autumn;Agricultural;60103;48.41688434853501;18.80105818345174;2019-Autumn
2023;Spring;Agricultural;59596;43.45929256997114;22.65252701523592;2023-Spring
2023;Summer;Agricultural;59596;44.46607154842607;18.79320759782536;2023-Summer
2023;Autumn;Agricultural;59596;41.11014162024297;22.988120008054235;2023-Autumn
2016;Spring;Industrial;338383;44.47622959782259;16.135562365721682;2016-Spring
2016;Summer;Industrial;338383;41.93473076366129;12.589284922705929;2016-Summer
2016;Autumn;Industrial;338383;48.02250704083834;14.687499076490248;2016-Autumn
2017;Winter;Industrial;338533;51.92994479120204;25.787737089146404;2017-Winter
2017;Spring;Industrial;338533;50.42344468633782;17.457677685779526;2017-Spring
2017;Summer;Industrial;338533;48.030768049200525;16.128412887369915;2017-Summer
2017;Autumn;Industrial;338533;46.55380716207873;15.655785403490944;2017-Autumn
2018;Winter;Industrial;338804;57.93910343443407;21.07413135618233;2018-Winter
2018;Spring;Industrial;338804;54.33820143799955;18.18160352298084;2018-Spring
2018;Summer;Industrial;338804;45.95577383974215;16.440183705032997;2018-Summer
2018;Autumn;Industrial;338804;48.25798987024946;17.17807345840073;2018-Autumn
2019;Winter;Industrial;340591;51.381275488782734;26.39529523680896;2019-Winter
2019;Spring;Industrial;340591;48.44520260370943;20.78739602631896;2019-Spring
2019;Summer;Industrial;340591;45.59721190518833;20.2001814493043;2019-Summer
2019;Autumn;Industrial;340591;44.62830785311415;20.22954217815503;2019-Autumn
2023;Spring;Industrial;341484;47.79140457532418;22.607208536856778;2023-Spring
2023;Summer;Industrial;341484;50.57337971910836;19.64952969978096;2023-Summer
2023;Autumn;Industrial;341484;53.79461409612163;21.81654191704443;2023-Autumn
