Indicator;Value
Input dataset/source;Dati/output/4-Modaria exposure/4.2-Area pollutant comparison/modaria_daily_area_exposure_standardized.csv + Dati/output/2-Health data/2.2-Health event aggregation/health_events_selected_areas_outcomes.csv
Temporal scale;Weekly
Exposure source;ModAria municipality-level area exposure
Exposure indicator;Population-weighted mean
Lag values tested;0, 1, 2, 3, 4
Number of rows in lagged dataset;522
Number of areas;2
Areas;Industrial, Agricultural
Pollutants;NO2, PM2.5
Health outcomes;Respiratory and cardiocirculatory event rates
Correlation method;Spearman correlation
Maximum N by lag;"Lag 0: 522; Lag 1: 518; Lag 2: 514; Lag 3: 510; Lag 4: 506"
Combinations where lag 0 is strongest positive rho;1
Percentage where lag 0 is strongest positive rho;8.333333333333332
Main methodological safeguard;Lagged pollutant values are kept only when the lagged week is exactly the expected number of weeks before the current health week. This prevents incorrect links across the 2019-2023 gap.
Main interpretation rule;Lagged correlations are exploratory ecological associations. They should not be interpreted as causal delayed effects.
