Group;Pollutant;Pollutant_label;Lag_weeks;Available_values;Missing_values
Overall;NO2_population_weighted_mean;Population-weighted NO2;0;522;0
Overall;NO2_population_weighted_mean;Population-weighted NO2;1;518;4
Overall;NO2_population_weighted_mean;Population-weighted NO2;2;514;8
Overall;NO2_population_weighted_mean;Population-weighted NO2;3;510;12
Overall;NO2_population_weighted_mean;Population-weighted NO2;4;506;16
Overall;PM25_population_weighted_mean;Population-weighted PM2.5;0;522;0
Overall;PM25_population_weighted_mean;Population-weighted PM2.5;1;518;4
Overall;PM25_population_weighted_mean;Population-weighted PM2.5;2;514;8
Overall;PM25_population_weighted_mean;Population-weighted PM2.5;3;510;12
Overall;PM25_population_weighted_mean;Population-weighted PM2.5;4;506;16
Industrial;NO2_population_weighted_mean;Population-weighted NO2;0;261;0
Industrial;NO2_population_weighted_mean;Population-weighted NO2;1;259;2
Industrial;NO2_population_weighted_mean;Population-weighted NO2;2;257;4
Industrial;NO2_population_weighted_mean;Population-weighted NO2;3;255;6
Industrial;NO2_population_weighted_mean;Population-weighted NO2;4;253;8
Industrial;PM25_population_weighted_mean;Population-weighted PM2.5;0;261;0
Industrial;PM25_population_weighted_mean;Population-weighted PM2.5;1;259;2
Industrial;PM25_population_weighted_mean;Population-weighted PM2.5;2;257;4
Industrial;PM25_population_weighted_mean;Population-weighted PM2.5;3;255;6
Industrial;PM25_population_weighted_mean;Population-weighted PM2.5;4;253;8
Agricultural;NO2_population_weighted_mean;Population-weighted NO2;0;261;0
Agricultural;NO2_population_weighted_mean;Population-weighted NO2;1;259;2
Agricultural;NO2_population_weighted_mean;Population-weighted NO2;2;257;4
Agricultural;NO2_population_weighted_mean;Population-weighted NO2;3;255;6
Agricultural;NO2_population_weighted_mean;Population-weighted NO2;4;253;8
Agricultural;PM25_population_weighted_mean;Population-weighted PM2.5;0;261;0
Agricultural;PM25_population_weighted_mean;Population-weighted PM2.5;1;259;2
Agricultural;PM25_population_weighted_mean;Population-weighted PM2.5;2;257;4
Agricultural;PM25_population_weighted_mean;Population-weighted PM2.5;3;255;6
Agricultural;PM25_population_weighted_mean;Population-weighted PM2.5;4;253;8
