WeekStart;Year;Week;Area;Population;Respiratory_rate_per_10000;Cardiocirculatory_rate_per_10000;NO2_population_weighted_mean;PM25_population_weighted_mean;TimeLabel;NO2_population_weighted_mean_lag0;NO2_population_weighted_mean_lag0_WeekStart;PM25_population_weighted_mean_lag0;PM25_population_weighted_mean_lag0_WeekStart;NO2_population_weighted_mean_lag1;NO2_population_weighted_mean_lag1_WeekStart;PM25_population_weighted_mean_lag1;PM25_population_weighted_mean_lag1_WeekStart;NO2_population_weighted_mean_lag2;NO2_population_weighted_mean_lag2_WeekStart;PM25_population_weighted_mean_lag2;PM25_population_weighted_mean_lag2_WeekStart;NO2_population_weighted_mean_lag3;NO2_population_weighted_mean_lag3_WeekStart;PM25_population_weighted_mean_lag3;PM25_population_weighted_mean_lag3_WeekStart;NO2_population_weighted_mean_lag4;NO2_population_weighted_mean_lag4_WeekStart;PM25_population_weighted_mean_lag4;PM25_population_weighted_mean_lag4_WeekStart
2016-01-04;2016;1;Agricultural;60892;1.642251855744597;2.627602969191355;37.1480823985026;32.85388293459728;2016-01-04;37.1480823985026;2016-01-04;32.85388293459728;2016-01-04;;;;;;;;;;;;;;;;
2016-01-04;2016;1;Industrial;338383;1.4185109772063016;3.2803066347895724;47.82116515264875;40.0349612433626;2016-01-04;47.82116515264875;2016-01-04;40.0349612433626;2016-01-04;;;;;;;;;;;;;;;;
2016-01-11;2016;2;Agricultural;60892;1.9707022268935164;2.627602969191355;36.55266734199589;16.801125965574887;2016-01-11;36.55266734199589;2016-01-11;16.801125965574887;2016-01-11;37.1480823985026;2016-01-04;32.85388293459728;2016-01-04;;;;;;;;;;;;
2016-01-11;2016;2;Industrial;338383;1.4776156012565644;3.8418005632670673;45.876633726517866;23.11125770729814;2016-01-11;45.876633726517866;2016-01-11;23.11125770729814;2016-01-11;47.82116515264875;2016-01-04;40.0349612433626;2016-01-04;;;;;;;;;;;;
2016-01-18;2016;3;Agricultural;60892;1.642251855744597;4.598305196084872;57.15480880262461;41.48148055510395;2016-01-18;57.15480880262461;2016-01-18;41.48148055510395;2016-01-18;36.55266734199589;2016-01-11;16.801125965574887;2016-01-11;37.1480823985026;2016-01-04;32.85388293459728;2016-01-04;;;;;;;;
2016-01-18;2016;3;Industrial;338383;1.3889586651811705;3.6644866911162794;59.58305322595511;49.893645451953056;2016-01-18;59.58305322595511;2016-01-18;49.893645451953056;2016-01-18;45.876633726517866;2016-01-11;23.11125770729814;2016-01-11;47.82116515264875;2016-01-04;40.0349612433626;2016-01-04;;;;;;;;
2016-01-25;2016;4;Agricultural;60892;2.299152598042436;3.777179268212573;54.37604874042763;43.966790060154324;2016-01-25;54.37604874042763;2016-01-25;43.966790060154324;2016-01-25;57.15480880262461;2016-01-18;41.48148055510395;2016-01-18;36.55266734199589;2016-01-11;16.801125965574887;2016-01-11;37.1480823985026;2016-01-04;32.85388293459728;2016-01-04;;;;
2016-01-25;2016;4;Industrial;338383;1.448063289231433;4.225980619593774;63.970612070573296;67.89817690404719;2016-01-25;63.970612070573296;2016-01-25;67.89817690404719;2016-01-25;59.58305322595511;2016-01-18;49.893645451953056;2016-01-18;45.876633726517866;2016-01-11;23.11125770729814;2016-01-11;47.82116515264875;2016-01-04;40.0349612433626;2016-01-04;;;;
2016-02-01;2016;5;Agricultural;60892;2.134927412467976;3.4487288970636536;38.445138880204105;26.66542022569336;2016-02-01;38.445138880204105;2016-02-01;26.66542022569336;2016-02-01;54.37604874042763;2016-01-25;43.966790060154324;2016-01-25;57.15480880262461;2016-01-18;41.48148055510395;2016-01-18;36.55266734199589;2016-01-11;16.801125965574887;2016-01-11;37.1480823985026;2016-01-04;32.85388293459728;2016-01-04
2016-02-01;2016;5;Industrial;338383;1.0934355449298576;3.9009051873173295;44.206430793449826;36.04358796499635;2016-02-01;44.206430793449826;2016-02-01;36.04358796499635;2016-02-01;63.970612070573296;2016-01-25;67.89817690404719;2016-01-25;59.58305322595511;2016-01-18;49.893645451953056;2016-01-18;45.876633726517866;2016-01-11;23.11125770729814;2016-01-11;47.82116515264875;2016-01-04;40.0349612433626;2016-01-04
2016-02-08;2016;6;Agricultural;60892;0.9853511134467582;2.9560533403402744;33.553971102579176;21.248237682536903;2016-02-08;33.553971102579176;2016-02-08;21.248237682536903;2016-02-08;38.445138880204105;2016-02-01;26.66542022569336;2016-02-01;54.37604874042763;2016-01-25;43.966790060154324;2016-01-25;57.15480880262461;2016-01-18;41.48148055510395;2016-01-18;36.55266734199589;2016-01-11;16.801125965574887;2016-01-11
2016-02-08;2016;6;Industrial;338383;1.654929473407352;3.989562123392724;45.765686323296954;23.990200172309418;2016-02-08;45.765686323296954;2016-02-08;23.990200172309418;2016-02-08;44.206430793449826;2016-02-01;36.04358796499635;2016-02-01;63.970612070573296;2016-01-25;67.89817690404719;2016-01-25;59.58305322595511;2016-01-18;49.893645451953056;2016-01-18;45.876633726517866;2016-01-11;23.11125770729814;2016-01-11
2016-02-15;2016;7;Agricultural;60892;3.1202785259147343;3.4487288970636536;33.98028851565138;22.382321798543455;2016-02-15;33.98028851565138;2016-02-15;22.382321798543455;2016-02-15;33.553971102579176;2016-02-08;21.248237682536903;2016-02-08;38.445138880204105;2016-02-01;26.66542022569336;2016-02-01;54.37604874042763;2016-01-25;43.966790060154324;2016-01-25;57.15480880262461;2016-01-18;41.48148055510395;2016-01-18
2016-02-15;2016;7;Industrial;338383;1.6253771613822208;4.0486667474429865;44.12110777387223;23.14944531685763;2016-02-15;44.12110777387223;2016-02-15;23.14944531685763;2016-02-15;45.765686323296954;2016-02-08;23.990200172309418;2016-02-08;44.206430793449826;2016-02-01;36.04358796499635;2016-02-01;63.970612070573296;2016-01-25;67.89817690404719;2016-01-25;59.58305322595511;2016-01-18;49.893645451953056;2016-01-18
2016-02-22;2016;8;Agricultural;60892;1.4780266701701372;4.269854824935952;27.06803545895291;21.583186386696845;2016-02-22;27.06803545895291;2016-02-22;21.583186386696845;2016-02-22;33.98028851565138;2016-02-15;22.382321798543455;2016-02-15;33.553971102579176;2016-02-08;21.248237682536903;2016-02-08;38.445138880204105;2016-02-01;26.66542022569336;2016-02-01;54.37604874042763;2016-01-25;43.966790060154324;2016-01-25
2016-02-22;2016;8;Industrial;338383;1.3298540411309079;4.107771371493248;38.37952391193439;25.712782009546686;2016-02-22;38.37952391193439;2016-02-22;25.712782009546686;2016-02-22;44.12110777387223;2016-02-15;23.14944531685763;2016-02-15;45.765686323296954;2016-02-08;23.990200172309418;2016-02-08;44.206430793449826;2016-02-01;36.04358796499635;2016-02-01;63.970612070573296;2016-01-25;67.89817690404719;2016-01-25
2016-02-29;2016;9;Agricultural;60892;1.3138014845956776;2.9560533403402744;22.98995843807189;18.84574563433007;2016-02-29;22.98995843807189;2016-02-29;18.84574563433007;2016-02-29;27.06803545895291;2016-02-22;21.583186386696845;2016-02-22;33.98028851565138;2016-02-15;22.382321798543455;2016-02-15;33.553971102579176;2016-02-08;21.248237682536903;2016-02-08;38.445138880204105;2016-02-01;26.66542022569336;2016-02-01
2016-02-29;2016;9;Industrial;338383;1.3889586651811705;3.7235913151665416;32.862870825488464;15.920484526120974;2016-02-29;32.862870825488464;2016-02-29;15.920484526120974;2016-02-29;38.37952391193439;2016-02-22;25.712782009546686;2016-02-22;44.12110777387223;2016-02-15;23.14944531685763;2016-02-15;45.765686323296954;2016-02-08;23.990200172309418;2016-02-08;44.206430793449826;2016-02-01;36.04358796499635;2016-02-01
2016-03-07;2016;10;Agricultural;60892;1.4780266701701372;3.4487288970636536;24.56715628035334;30.019338594231353;2016-03-07;24.56715628035334;2016-03-07;30.019338594231353;2016-03-07;22.98995843807189;2016-02-29;18.84574563433007;2016-02-29;27.06803545895291;2016-02-22;21.583186386696845;2016-02-22;33.98028851565138;2016-02-15;22.382321798543455;2016-02-15;33.553971102579176;2016-02-08;21.248237682536903;2016-02-08
2016-03-07;2016;10;Industrial;338383;0.9752262968293324;3.2212020107393102;37.772566497285325;29.551666213031044;2016-03-07;37.772566497285325;2016-03-07;29.551666213031044;2016-03-07;32.862870825488464;2016-02-29;15.920484526120974;2016-02-29;38.37952391193439;2016-02-22;25.712782009546686;2016-02-22;44.12110777387223;2016-02-15;23.14944531685763;2016-02-15;45.765686323296954;2016-02-08;23.990200172309418;2016-02-08
2016-03-14;2016;11;Agricultural;60892;1.149576299021218;3.6129540826381135;23.682476665707863;29.278333604298762;2016-03-14;23.682476665707863;2016-03-14;29.278333604298762;2016-03-14;24.56715628035334;2016-03-07;30.019338594231353;2016-03-07;22.98995843807189;2016-02-29;18.84574563433007;2016-02-29;27.06803545895291;2016-02-22;21.583186386696845;2016-02-22;33.98028851565138;2016-02-15;22.382321798543455;2016-02-15
2016-03-14;2016;11;Industrial;338383;1.6253771613822208;3.6644866911162794;37.178625064313124;26.2771329997633;2016-03-14;37.178625064313124;2016-03-14;26.2771329997633;2016-03-14;37.772566497285325;2016-03-07;29.551666213031044;2016-03-07;32.862870825488464;2016-02-29;15.920484526120974;2016-02-29;38.37952391193439;2016-02-22;25.712782009546686;2016-02-22;44.12110777387223;2016-02-15;23.14944531685763;2016-02-15
2016-03-21;2016;12;Agricultural;60892;2.134927412467976;3.4487288970636536;19.614388264278833;32.59559660334413;2016-03-21;19.614388264278833;2016-03-21;32.59559660334413;2016-03-21;23.682476665707863;2016-03-14;29.278333604298762;2016-03-14;24.56715628035334;2016-03-07;30.019338594231353;2016-03-07;22.98995843807189;2016-02-29;18.84574563433007;2016-02-29;27.06803545895291;2016-02-22;21.583186386696845;2016-02-22
2016-03-21;2016;12;Industrial;338383;1.6253771613822208;3.487172818965492;31.536862055968975;27.668294850752435;2016-03-21;31.536862055968975;2016-03-21;27.668294850752435;2016-03-21;37.178625064313124;2016-03-14;26.2771329997633;2016-03-14;37.772566497285325;2016-03-07;29.551666213031044;2016-03-07;32.862870825488464;2016-02-29;15.920484526120974;2016-02-29;38.37952391193439;2016-02-22;25.712782009546686;2016-02-22
2016-03-28;2016;13;Agricultural;60892;0.9853511134467582;3.9414044537870327;19.806242626613805;26.273016428842393;2016-03-28;19.806242626613805;2016-03-28;26.273016428842393;2016-03-28;19.614388264278833;2016-03-21;32.59559660334413;2016-03-21;23.682476665707863;2016-03-14;29.278333604298762;2016-03-14;24.56715628035334;2016-03-07;30.019338594231353;2016-03-07;22.98995843807189;2016-02-29;18.84574563433007;2016-02-29
2016-03-28;2016;13;Industrial;338383;1.1820924810052513;3.516725130990623;32.170234911134294;26.807462616169307;2016-03-28;32.170234911134294;2016-03-28;26.807462616169307;2016-03-28;31.536862055968975;2016-03-21;27.668294850752435;2016-03-21;37.178625064313124;2016-03-14;26.2771329997633;2016-03-14;37.772566497285325;2016-03-07;29.551666213031044;2016-03-07;32.862870825488464;2016-02-29;15.920484526120974;2016-02-29
2016-04-04;2016;14;Agricultural;60892;1.149576299021218;2.627602969191355;15.853846875351733;32.66619977238904;2016-04-04;15.853846875351733;2016-04-04;32.66619977238904;2016-04-04;19.806242626613805;2016-03-28;26.273016428842393;2016-03-28;19.614388264278833;2016-03-21;32.59559660334413;2016-03-21;23.682476665707863;2016-03-14;29.278333604298762;2016-03-14;24.56715628035334;2016-03-07;30.019338594231353;2016-03-07
2016-04-04;2016;14;Industrial;338383;1.3889586651811705;2.9847835145382597;28.675813114815107;34.13283143491511;2016-04-04;28.675813114815107;2016-04-04;34.13283143491511;2016-04-04;32.170234911134294;2016-03-28;26.807462616169307;2016-03-28;31.536862055968975;2016-03-21;27.668294850752435;2016-03-21;37.178625064313124;2016-03-14;26.2771329997633;2016-03-14;37.772566497285325;2016-03-07;29.551666213031044;2016-03-07
