Temporal_scale;Group;Pollutant;Outcome;Station_Rho;Station_P_value;Station_N;Station_Direction;Station_Strength;Station_Significance;Station_Interpretation;ModAria_Rho;ModAria_P_value;ModAria_N;ModAria_Direction;ModAria_Strength;ModAria_Significance;ModAria_Interpretation;Delta_Rho_ModAria_minus_Station;Direction_agreement;Magnitude_change;Final_interpretation
Seasonal;Overall;NO2;Respiratory;0.5024453024453025;0.0017916415964096;36;positive;strong;statistically significant;"moderate positive association; statistically significant at p < 0.05";0.3178893178893179;0.0588433613894391;36;positive;moderate;not statistically significant;Moderate positive, not statistically significant;-0.1845559845559846;same direction;weaker in ModAria;Same direction, but weaker after ModAria exposure reconstruction.
Seasonal;Overall;NO2;Cardiocirculatory;0.2038610038610038;0.2330370683479414;36;positive;weak;not statistically significant;"weak positive association; not statistically significant";0.5083655083655083;0.0015475672917802;36;positive;strong;statistically significant;Strong positive, statistically significant;0.3045045045045045;same direction;stronger in ModAria;Same direction, strengthened by the ModAria exposure reconstruction.
Seasonal;Overall;PM25;Respiratory;0.4458172458172458;0.0064288015548726;36;positive;moderate;statistically significant;"moderate positive association; statistically significant at p < 0.05";0.4334620334620335;0.0082676824559966;36;positive;moderate;statistically significant;Moderate positive, statistically significant;-0.012355212355212308;same direction;similar magnitude;Robust pattern with similar direction and magnitude across exposure frameworks.
Seasonal;Overall;PM25;Cardiocirculatory;0.1639639639639639;0.3392984400820844;36;positive;weak;not statistically significant;"very weak positive association; not statistically significant";0.1243243243243243;0.4700299454080242;36;positive;weak;not statistically significant;Weak positive, not statistically significant;-0.039639639639639596;same direction;similar magnitude;Robust pattern with similar direction and magnitude across exposure frameworks.
Seasonal;Industrial;NO2;Respiratory;0.3642930856553147;0.1372167161243322;18;positive;moderate;not statistically significant;"weak positive association; not statistically significant";0.1455108359133127;0.5645405304670835;18;positive;weak;not statistically significant;Weak positive, not statistically significant;-0.218782249742002;same direction;weaker in ModAria;Same direction, but weaker after ModAria exposure reconstruction.
Seasonal;Industrial;NO2;Cardiocirculatory;0.3828689370485036;0.1168323230127677;18;positive;moderate;not statistically significant;"weak positive association; not statistically significant";0.3787409700722394;0.1211642258637085;18;positive;moderate;not statistically significant;Moderate positive, not statistically significant;-0.004127966976264219;same direction;similar magnitude;Robust pattern with similar direction and magnitude across exposure frameworks.
Seasonal;Industrial;PM25;Respiratory;0.2796697626418988;0.2610264770684415;18;positive;weak;not statistically significant;"weak positive association; not statistically significant";0.283797729618163;0.2537564179087559;18;positive;weak;not statistically significant;Weak positive, not statistically significant;0.004127966976264219;same direction;similar magnitude;Robust pattern with similar direction and magnitude across exposure frameworks.
Seasonal;Industrial;PM25;Cardiocirculatory;0.4282765737874097;0.0762009593524021;18;positive;moderate;not statistically significant;"moderate positive association; not statistically significant";0.4447884416924664;0.0643852241036506;18;positive;moderate;not statistically significant;Moderate positive, not statistically significant;0.01651186790505671;same direction;similar magnitude;Robust pattern with similar direction and magnitude across exposure frameworks.
Seasonal;Agricultural;NO2;Respiratory;0.5830753353973168;0.0110924436195416;18;positive;strong;statistically significant;"moderate positive association; statistically significant at p < 0.05";0.5995872033023736;0.008536698768223;18;positive;strong;statistically significant;Strong positive, statistically significant;0.016511867905056765;same direction;similar magnitude;Robust pattern with similar direction and magnitude across exposure frameworks.
Seasonal;Agricultural;NO2;Cardiocirculatory;0.1186790505675954;0.6390493358496443;18;positive;weak;not statistically significant;"very weak positive association; not statistically significant";0.1372549019607843;0.5870615369663565;18;positive;weak;not statistically significant;Weak positive, not statistically significant;0.018575851393188902;same direction;similar magnitude;Robust pattern with similar direction and magnitude across exposure frameworks.
Seasonal;Agricultural;PM25;Respiratory;0.5686274509803922;0.0138004376117254;18;positive;strong;statistically significant;"moderate positive association; statistically significant at p < 0.05";0.5892672858617131;0.0100707539123342;18;positive;strong;statistically significant;Strong positive, statistically significant;0.020639834881320818;same direction;similar magnitude;Robust pattern with similar direction and magnitude across exposure frameworks.
Seasonal;Agricultural;PM25;Cardiocirculatory;0.1475748194014448;0.5589695952802587;18;positive;weak;not statistically significant;"very weak positive association; not statistically significant";0.1228070175438596;0.627346145423968;18;positive;weak;not statistically significant;Weak positive, not statistically significant;-0.02476780185758519;same direction;similar magnitude;Robust pattern with similar direction and magnitude across exposure frameworks.
Monthly;Overall;NO2;Respiratory;0.4847937662091103;2.0119946151050678e-08;120;positive;moderate;statistically significant;"moderate positive association; statistically significant at p < 0.05";0.3725301590535438;2.789638988029301e-05;120;positive;moderate;statistically significant;Moderate positive, statistically significant;-0.11226360715556649;same direction;weaker in ModAria;Same direction, but weaker after ModAria exposure reconstruction.
