Temporal_scale;Group;Pollutant;Outcome;Station_Lag_unit;Station_Best_lag;Station_Best_Rho;Station_Best_P_value;Station_N_at_best_lag;Station_Lag0_Rho;Station_Lag0_P_value;Station_Lag0_is_best;Station_Interpretation;ModAria_Lag_unit;ModAria_Best_lag;ModAria_Best_Rho;ModAria_Best_P_value;ModAria_N_at_best_lag;ModAria_Lag0_Rho;ModAria_Lag0_P_value;ModAria_Lag0_is_best;ModAria_Interpretation;Delta_best_lag_ModAria_minus_Station;Delta_best_rho_ModAria_minus_Station;Best_lag_agreement;Preliminary_interpretation
Monthly;Overall;NO2;Respiratory;months;0;0.4847937662091103;2.0119946151050678e-08;120;;;True;"moderate positive association; statistically significant at p < 0.05";months;0;0.3235292075681221;0.0003128380346126;120;0.3235292075681221;0.0003128380346126;True;"moderate positive association; statistically significant";0;-0.1612645586409882;same best lag;Best lag is consistent across station-based and ModAria exposure frameworks.
Monthly;Overall;NO2;Cardiocirculatory;months;0;0.2805442120447313;0.0019117094176661;120;;;True;"weak positive association; statistically significant at p < 0.05";months;0;0.4330395588939005;7.814666047289544e-07;120;0.4330395588939005;7.814666047289544e-07;True;"moderate positive association; statistically significant";0;0.1524953468491692;same best lag;Best lag is consistent across station-based and ModAria exposure frameworks.
Monthly;Overall;PM25;Respiratory;months;0;0.4577130495562704;1.4720479885226677e-07;120;;;True;"moderate positive association; statistically significant at p < 0.05";months;0;0.4502142555513376;2.4793237120116466e-07;120;0.4502142555513376;2.4793237120116466e-07;True;"moderate positive association; statistically significant";0;-0.007498794004932807;same best lag;Best lag is consistent across station-based and ModAria exposure frameworks.
Monthly;Overall;PM25;Cardiocirculatory;months;0;0.2587273200939073;0.0043267537123328;120;;;True;"weak positive association; statistically significant at p < 0.05";months;0;0.2210913409664067;0.0152370826733234;120;0.2210913409664067;0.0152370826733234;True;"weak positive association; statistically significant";0;-0.03763597912750061;same best lag;Best lag is consistent across station-based and ModAria exposure frameworks.
Monthly;Industrial;NO2;Respiratory;months;0;0.5100240358987829;3.145759922321826e-05;60;;;True;"moderate positive association; statistically significant at p < 0.05";months;0;0.2932603473100383;0.0229629511473227;60;0.2932603473100383;0.0229629511473227;True;"weak positive association; statistically significant";0;-0.21676368858874456;same best lag;Best lag is consistent across station-based and ModAria exposure frameworks.
Monthly;Industrial;NO2;Cardiocirculatory;months;0;0.3783656118607542;0.0028746787925753;60;;;True;"weak positive association; statistically significant at p < 0.05";months;0;0.3749201146241578;0.0031622699130691;60;0.3749201146241578;0.0031622699130691;True;"moderate positive association; statistically significant";0;-0.003445497236596373;same best lag;Best lag is consistent across station-based and ModAria exposure frameworks.
Monthly;Industrial;PM25;Respiratory;months;0;0.4963598979353168;5.497674177762692e-05;60;;;True;"moderate positive association; statistically significant at p < 0.05";months;0;0.425469247490175;0.0007016469427235;60;0.425469247490175;0.0007016469427235;True;"moderate positive association; statistically significant";0;-0.07089065044514181;same best lag;Best lag is consistent across station-based and ModAria exposure frameworks.
Monthly;Industrial;PM25;Cardiocirculatory;months;0;0.4320268975228356;0.0005670424604195;60;;;True;"moderate positive association; statistically significant at p < 0.05";months;0;0.3874239352408384;0.0022263579901614;60;0.3874239352408384;0.0022263579901614;True;"moderate positive association; statistically significant";0;-0.04460296228199717;same best lag;Best lag is consistent across station-based and ModAria exposure frameworks.
Monthly;Agricultural;NO2;Respiratory;months;0;0.456795101597182;0.0002437684182244;60;;;True;"moderate positive association; statistically significant at p < 0.05";months;0;0.3961873563372079;0.0017267250268031;60;0.3961873563372079;0.0017267250268031;True;"moderate positive association; statistically significant";0;-0.06060774525997409;same best lag;Best lag is consistent across station-based and ModAria exposure frameworks.
Monthly;Agricultural;NO2;Cardiocirculatory;months;0;0.2545641490491571;0.0496654975054746;60;;;True;"weak positive association; statistically significant at p < 0.05";months;0;0.2807680561066131;0.0297813897154036;60;0.2807680561066131;0.0297813897154036;True;"weak positive association; statistically significant";0;0.02620390705745601;same best lag;Best lag is consistent across station-based and ModAria exposure frameworks.
Monthly;Agricultural;PM25;Respiratory;months;1;0.4204713297898074;0.0010152109097062;58;;;False;"moderate positive association; statistically significant at p < 0.05";months;0;0.4438176522453214;0.0003824263630649;60;0.4438176522453214;0.0003824263630649;True;"moderate positive association; statistically significant";-1;0.02334632245551399;similar short-lag structure;Best lag differs slightly but remains within a similar short-lag window.
