WMARM_rank;Parameter_folder;Exposure_percentile;Lag_days;MARM;WMARM
1;P95_L14;95;14;5.726184239764619e-05;5.948046441758197e-05
2;P95_L0;95;0;5.820281924283676e-05;5.887443023641883e-05
3;P85_L14;85;14;4.093535503805414e-05;5.324956901617256e-05
4;P75_L14;75;14;3.558575649361654e-05;5.0797600020712506e-05
5;P85_L7;85;7;4.077941036095304e-05;4.9566290779272866e-05
6;P85_L0;85;0;4.065484179365895e-05;4.944190301998762e-05
7;P75_L7;75;7;3.5704019976156894e-05;4.9016125587653964e-05
8;P75_L0;75;0;3.602932322610769e-05;4.8702755071457794e-05
9;P95_L3;95;3;5.585383329452742e-05;4.763822735412197e-05
10;P95_L7;95;7;5.5493130141304206e-05;4.659607371585259e-05
11;P85_L3;85;3;3.9750366888075995e-05;4.651068675689426e-05
12;P75_L3;75;3;3.4761609688121605e-05;4.631321797876722e-05
