BSA;Municipality;Area;Province;INDEX_MEDIAN;INDEX_Q25;INDEX_Q75;INDEX_IQR;CI_LOW_MEDIAN;CI_HIGH_MEDIAN;AVG_STDEFF;2016INDEX;2016STDEFF;2017INDEX;2017STDEFF;2018INDEX;2018STDEFF;2019INDEX;2019STDEFF;2023INDEX;2023STDEFF
17042;CASTEL MELLA;Industrial;BS;0.0219823737048035;-0.0192897921160336;0.1455390557531109;0.1648288478691446;0.012276383072115;0.0367453985980731;1.2555065550026242e-05;0.1499761739662469;4.132471128419431e-05;0.1455390557531109;4.010208911579245e-05;-0.0192897921160336;-5.315092066869976e-06;0.0219823737048035;6.057018258420502e-06;-0.0961822750794152;-2.650185847516592e-05
17173;SAN ZENO NAVIGLIO;Industrial;BS;0.0660997714767916;-0.0193358133747942;0.0738051509086086;0.0931409642834029;0.0198484053347852;0.1237392500532081;7.570810039491954e-06;0.0660997714767916;1.807422800695749e-05;0.1104359853779801;3.01975375803202e-05;-0.0193358133747942;-5.287131153061534e-06;0.0738051509086086;2.018118511409844e-05;-0.0740059119144086;-2.0235906769330868e-05
17186;TORBOLE CASAGLIA;Industrial;BS;-0.0009445593288373;-0.0504380939033165;0.1067705872821339;0.1572086811854505;-0.0101840378835015;0.0144767178832759;4.272976012310714e-06;0.1067705872821339;2.9173183188171755e-05;0.1093686086708387;2.9883051309790863e-05;-0.0504380939033165;-1.3781195089664886e-05;-0.0009445593288373;-2.580825892671624e-07;-0.1073204669057392;-2.9323062825886156e-05
17165;RONCADELLE;Industrial;BS;0.0044173130559017;-0.0218883914307044;0.0693609007798697;0.0912492922105741;-0.034219064712863;0.0380599841191434;2.534909266144436e-06;0.1297376999626074;3.5491958578010266e-05;0.0693609007798697;1.8974789587190297e-05;0.0044173130559017;1.208422435573387e-06;-0.0218883914307044;-5.98788956384223e-06;-0.1603620242963224;-4.3869022922829e-05
17072;FLERO;Industrial;BS;-0.0127961939437021;-0.0902003051369756;0.0120167906375297;0.1022170957745054;-0.0416979374246096;0.0173760448320483;-6.845199540765753e-06;0.0120167906375297;3.30528334498077e-06;0.0679385959738199;1.868693997393012e-05;-0.0962386290895365;-2.6470788282753457e-05;-0.0127961939437021;-3.5196573298395363e-06;-0.0902003051369756;-2.48099338843302e-05
17048;CELLATICA;Industrial;BS;-0.0742683804946132;-0.0849375805770268;0.0140409942740479;0.0989785748510748;-0.1005194727642928;-0.0527937346237786;-1.3935767002582506e-05;0.0175257507091398;4.827340537380017e-06;0.0140409942740479;3.867488937495871e-06;-0.0742683804946132;-2.045657497576652e-05;-0.0849375805770268;-2.339529805777827e-05;-0.1098002427501564;-3.024345221748489e-05
17029;BRESCIA;Industrial;BS;-0.0664130404607668;-0.10445331401845;-0.0294009857665136;0.0750523282519363;-0.1004490625476953;-0.0374051970921984;-1.7062373486040025e-05;-0.0178039282062479;-4.909423890821247e-06;-0.0294009857665136;-8.107300926133905e-06;-0.0664130404607668;-1.831330889569783e-05;-0.10445331401845;-2.880280014973552e-05;-0.1098269240616169;-3.028455321207517e-05
19068;PERSICO DOSIMO;Agricultural;CR;-0.0562961967069789;-0.0882650313777523;-0.055908547600245;0.0323564837775072;-0.0893131107224912;-0.0332693184465769;-1.8368356289992034e-05;-0.0562961967069789;-1.38636289711789e-05;-0.0038053517138862;-9.371171158961756e-07;-0.1430670542981791;-3.5231856663346924e-05;-0.055908547600245;-1.3768165903666206e-05;-0.0882650313777523;-2.173631019800312e-05
17025;BOVEZZO;Industrial;BS;-0.088861727145665;-0.0996935768351898;-0.0667569722374825;0.0329366045977073;-0.1171484919685067;-0.0704512000888642;-1.9893564013914143e-05;-0.0996935768351898;-2.749677824760421e-05;-0.0667569722374825;-1.8412472212400932e-05;-0.088861727145665;-2.4509229562781997e-05;-0.1466211271144007;-4.043989225825419e-05;0.0217837916928558;6.008294440620299e-06
19026;CASTELVERDE;Agricultural;CR;-0.0705566474318798;-0.0764226282339981;-0.0622705055621629;0.0141521226718351;-0.0966312142051085;-0.0498273170306661;-2.052577324100214e-05;-0.0764226282339981;-1.886153480632894e-05;-0.0336608476883463;-8.307705347282714e-06;-0.1431057647849614;-3.531918445726071e-05;-0.0622705055621629;-1.536872270492547e-05;-0.0705566474318798;-1.7413783095603812e-05
