WMARM_rank;Parameter_folder;Exposure_percentile;Lag_days;MARM;WMARM
1;P75_L0;75;0;2.29878100126681e-05;1.9381330441725092e-05
2;P75_L14;75;14;2.3347162208186467e-05;1.9064233058927503e-05
3;P95_L7;95;7;2.4074574576872704e-05;1.886928960362264e-05
4;P75_L3;75;3;2.146494073346896e-05;1.7785914914587938e-05
5;P85_L0;85;0;2.134120752231033e-05;1.737801933276939e-05
6;P85_L14;85;14;2.0083379662871465e-05;1.6768920382917418e-05
7;P95_L0;95;0;2.6496966807342502e-05;1.6661108366737887e-05
8;P75_L7;75;7;2.1773472640852786e-05;1.665780875147426e-05
9;P85_L3;85;3;1.8324327956527423e-05;1.4792795499896971e-05
10;P95_L14;95;14;2.3103219068279588e-05;1.433163150084646e-05
11;P85_L7;85;7;1.9382604056173247e-05;1.375940624640023e-05
12;P95_L3;95;3;2.445739860685141e-05;1.287343851789839e-05
