WMARM_rank;Parameter_folder;Exposure_percentile;Lag_days;MARM;WMARM
1;P75_L0;75;0;5.013541620711021e-05;4.169430392991401e-05
2;P75_L14;75;14;4.8473011990807464e-05;4.134797586013435e-05
3;P75_L3;75;3;4.722221896909314e-05;3.85662671075153e-05
4;P85_L0;85;0;4.553721157210679e-05;3.7315156132062904e-05
5;P75_L7;75;7;4.773973702557901e-05;3.7213412402963285e-05
6;P85_L14;85;14;4.332680087996109e-05;3.605943150519297e-05
7;P85_L3;85;3;4.1758525906740576e-05;3.193047785295889e-05
8;P85_L7;85;7;4.1887109540035856e-05;3.13864813354196e-05
9;P95_L7;95;7;5.242357578771323e-05;3.027774178776918e-05
10;P95_L0;95;0;5.390308294113041e-05;3.0143115643913973e-05
11;P95_L14;95;14;5.127383667760328e-05;3.0125455330056466e-05
12;P95_L3;95;3;4.990461041939773e-05;2.3787615593117376e-05
