"Codice comune","Comune","Età","Sesso","Popolazione"
"017001","Acquafredda","0","Totale","14"
"017001","Acquafredda","0","Maschi","6"
"017001","Acquafredda","0","Femmine","8"
"017001","Acquafredda","1","Totale","14"
"017001","Acquafredda","1","Maschi","7"
"017001","Acquafredda","1","Femmine","7"
"017001","Acquafredda","2","Totale","13"
"017001","Acquafredda","2","Maschi","9"
"017001","Acquafredda","2","Femmine","4"
"017001","Acquafredda","3","Totale","13"
"017001","Acquafredda","3","Maschi","2"
"017001","Acquafredda","3","Femmine","11"
"017001","Acquafredda","4","Totale","22"
"017001","Acquafredda","4","Maschi","12"
"017001","Acquafredda","4","Femmine","10"
"017001","Acquafredda","5","Totale","13"
"017001","Acquafredda","5","Maschi","8"
"017001","Acquafredda","5","Femmine","5"
"017001","Acquafredda","6","Totale","18"
"017001","Acquafredda","6","Maschi","12"
"017001","Acquafredda","6","Femmine","6"
"017001","Acquafredda","7","Totale","16"
"017001","Acquafredda","7","Maschi","9"
"017001","Acquafredda","7","Femmine","7"
"017001","Acquafredda","8","Totale","21"
"017001","Acquafredda","8","Maschi","10"
"017001","Acquafredda","8","Femmine","11"
"017001","Acquafredda","9","Totale","18"
"017001","Acquafredda","9","Maschi","8"
"017001","Acquafredda","9","Femmine","10"
"017001","Acquafredda","10","Totale","14"
"017001","Acquafredda","10","Maschi","7"
"017001","Acquafredda","10","Femmine","7"
"017001","Acquafredda","11","Totale","28"
"017001","Acquafredda","11","Maschi","13"
"017001","Acquafredda","11","Femmine","15"
"017001","Acquafredda","12","Totale","23"
"017001","Acquafredda","12","Maschi","11"
"017001","Acquafredda","12","Femmine","12"
"017001","Acquafredda","13","Totale","16"
"017001","Acquafredda","13","Maschi","11"
"017001","Acquafredda","13","Femmine","5"
"017001","Acquafredda","14","Totale","25"
"017001","Acquafredda","14","Maschi","15"
"017001","Acquafredda","14","Femmine","10"
"017001","Acquafredda","15","Totale","17"
"017001","Acquafredda","15","Maschi","7"
"017001","Acquafredda","15","Femmine","10"
"017001","Acquafredda","16","Totale","23"
"017001","Acquafredda","16","Maschi","15"
"017001","Acquafredda","16","Femmine","8"
"017001","Acquafredda","17","Totale","11"
"017001","Acquafredda","17","Maschi","3"
"017001","Acquafredda","17","Femmine","8"
"017001","Acquafredda","18","Totale","10"
"017001","Acquafredda","18","Maschi","6"
"017001","Acquafredda","18","Femmine","4"
"017001","Acquafredda","19","Totale","16"
"017001","Acquafredda","19","Maschi","6"
"017001","Acquafredda","19","Femmine","10"
"017001","Acquafredda","20","Totale","15"
"017001","Acquafredda","20","Maschi","9"
"017001","Acquafredda","20","Femmine","6"
"017001","Acquafredda","21","Totale","20"
"017001","Acquafredda","21","Maschi","8"
"017001","Acquafredda","21","Femmine","12"
"017001","Acquafredda","22","Totale","12"
"017001","Acquafredda","22","Maschi","6"
"017001","Acquafredda","22","Femmine","6"
"017001","Acquafredda","23","Totale","12"
"017001","Acquafredda","23","Maschi","5"
"017001","Acquafredda","23","Femmine","7"
"017001","Acquafredda","24","Totale","11"
"017001","Acquafredda","24","Maschi","2"
"017001","Acquafredda","24","Femmine","9"
"017001","Acquafredda","25","Totale","12"
"017001","Acquafredda","25","Maschi","4"
"017001","Acquafredda","25","Femmine","8"
"017001","Acquafredda","26","Totale","16"
"017001","Acquafredda","26","Maschi","7"
"017001","Acquafredda","26","Femmine","9"
"017001","Acquafredda","27","Totale","16"
"017001","Acquafredda","27","Maschi","8"
"017001","Acquafredda","27","Femmine","8"
"017001","Acquafredda","28","Totale","15"
