"Codice comune","Comune","Celibi","Coniugati","Divorziati","Vedovi","Uniti civilmente","Maschi già in unione civile (per scioglimento unione)","Maschi già in unione civile (per decesso del partner)","Totale maschi","Nubili","Coniugate","Divorziate","Vedove","Unite civilmente","Femmine già in unione civile (per scioglimento unione)","Femmine già in unione civile (per decesso del partner)","Totale femmine","Totale"
"017001","Acquafredda","330","365","27","20","","","","742","309","355","33","86","","","","783","1525"
"017002","Adro","1709","1647","106","113","","","","3575","1383","1653","122","418","","","","3576","7151"
"017003","Agnosine","397","391","32","25","","","","845","274","402","28","105","","","","809","1654"
"017004","Alfianello","556","560","17","40","","","","1173","440","552","30","136","","","","1158","2331"
"017005","Anfo","110","104","13","7","","","","234","69","100","12","32","","","","213","447"
"017006","Angolo Terme","582","511","45","38","","","","1176","450","483","28","169","","","","1130","2306"
"017007","Artogne","907","774","51","49","","","","1781","759","759","58","225","","","","1801","3582"
"017008","Azzano Mella","890","775","51","33","","","","1749","722","741","85","121","","","","1669","3418"
"017009","Bagnolo Mella","3002","2882","188","142","","","","6214","2435","2822","238","778","","","","6273","12487"
"017010","Bagolino","879","898","58","51","","","","1886","644","885","54","298","","","","1881","3767"
"017011","Barbariga","591","537","34","26","","","","1188","433","530","33","146","","","","1142","2330"
"017012","Barghe","296","275","17","15","","","","603","188","273","15","58","","","","534","1137"
"017013","Bassano Bresciano","589","543","38","26","","","","1196","463","524","36","115","","","","1138","2334"
"017014","Bedizzole","2926","2752","269","137","","","","6084","2501","2763","294","603","","","","6161","12245"
"017015","Berlingo","708","639","45","34","","","","1426","538","644","40","107","","","","1329","2755"
"017016","Berzo Demo","357","368","24","26","","","","775","231","358","19","122","","","","730","1505"
"017017","Berzo Inferiore","596","583","24","18","","","","1221","468","578","55","128","","","","1229","2450"
"017018","Bienno","872","880","51","54","","","","1857","725","877","58","254","","","","1914","3771"
"017019","Bione","309","310","21","21","","","","661","225","303","25","91","","","","644","1305"
"017020","Borgo San Giacomo","1418","1199","72","62","","","","2751","1126","1194","71","278","","","","2669","5420"
"017021","Borgosatollo","2160","2149","155","99","","","","4563","1754","2117","186","480","","","","4537","9100"
"017022","Borno","586","525","43","43","","","","1197","458","531","51","199","","","","1239","2436"
"017023","Botticino","2466","2485","186","112","","","","5249","2078","2524","261","599","","","","5462","10711"
"017024","Bovegno","472","422","51","42","","","","987","397","423","51","159","","","","1030","2017"
"017025","Bovezzo","1573","1752","146","80","","","","3551","1312","1805","199","441","","","","3757","7308"
"017026","Brandico","439","405","25","23","","","","892","347","398","30","66","","","","841","1733"
"017027","Braone","167","160","11","11","","","","349","129","156","14","42","","","","341","690"
"017028","Breno","1061","1070","64","72","","","","2267","890","1067","95","324","","","","2376","4643"
"017029","Brescia","47162","40995","3826","2609","223","5","3","94823","41947","41690","6306","12372","93","3","2","102413","197236"
"017030","Brione","204","164","29","5","","","","402","140","155","15","37","","","","347","749"
"017031","Caino","549","500","37","26","","","","1112","403","490","44","112","","","","1049","2161"
