"Codice comune","Comune","Età","Sesso","Popolazione"
"019001","Acquanegra Cremonese","0","Totale","9"
"019001","Acquanegra Cremonese","0","Maschi","4"
"019001","Acquanegra Cremonese","0","Femmine","5"
"019001","Acquanegra Cremonese","1","Totale","7"
"019001","Acquanegra Cremonese","1","Maschi","3"
"019001","Acquanegra Cremonese","1","Femmine","4"
"019001","Acquanegra Cremonese","2","Totale","9"
"019001","Acquanegra Cremonese","2","Maschi","3"
"019001","Acquanegra Cremonese","2","Femmine","6"
"019001","Acquanegra Cremonese","3","Totale","7"
"019001","Acquanegra Cremonese","3","Maschi","1"
"019001","Acquanegra Cremonese","3","Femmine","6"
"019001","Acquanegra Cremonese","4","Totale","4"
"019001","Acquanegra Cremonese","4","Maschi","2"
"019001","Acquanegra Cremonese","4","Femmine","2"
"019001","Acquanegra Cremonese","5","Totale","13"
"019001","Acquanegra Cremonese","5","Maschi","6"
"019001","Acquanegra Cremonese","5","Femmine","7"
"019001","Acquanegra Cremonese","6","Totale","8"
"019001","Acquanegra Cremonese","6","Maschi","5"
"019001","Acquanegra Cremonese","6","Femmine","3"
"019001","Acquanegra Cremonese","7","Totale","6"
"019001","Acquanegra Cremonese","7","Maschi","2"
"019001","Acquanegra Cremonese","7","Femmine","4"
"019001","Acquanegra Cremonese","8","Totale","9"
"019001","Acquanegra Cremonese","8","Maschi","6"
"019001","Acquanegra Cremonese","8","Femmine","3"
"019001","Acquanegra Cremonese","9","Totale","6"
"019001","Acquanegra Cremonese","9","Maschi","3"
"019001","Acquanegra Cremonese","9","Femmine","3"
"019001","Acquanegra Cremonese","10","Totale","12"
"019001","Acquanegra Cremonese","10","Maschi","9"
"019001","Acquanegra Cremonese","10","Femmine","3"
"019001","Acquanegra Cremonese","11","Totale","6"
"019001","Acquanegra Cremonese","11","Maschi","4"
"019001","Acquanegra Cremonese","11","Femmine","2"
"019001","Acquanegra Cremonese","12","Totale","8"
"019001","Acquanegra Cremonese","12","Maschi","2"
"019001","Acquanegra Cremonese","12","Femmine","6"
"019001","Acquanegra Cremonese","13","Totale","17"
