"Popolazione residente per età, sesso e stato civile al 1° gennaio 2023"
"Codice comune";"Comune";"Età";"Celibi";"Coniugati";"Divorziati";"Vedovi";"Uniti civilmente";"Maschi già in unione civile (per scioglimento unione)";"Maschi già in unione civile (per decesso del partner)";"Totale maschi";"Nubili";"Coniugate";"Divorziate";"Vedove";"Unite civilmente";"Femmine già in unione civile (per scioglimento unione)";"Femmine già in unione civile (per decesso del partner)";"Totale femmine";"Totale"
"019001";"Acquanegra Cremonese";0;2;0;0;0;;;;2;1;0;0;0;;;;1;3
"019001";"Acquanegra Cremonese";1;6;0;0;0;;;;6;5;0;0;0;;;;5;11
"019001";"Acquanegra Cremonese";2;1;0;0;0;;;;1;3;0;0;0;;;;3;4
"019001";"Acquanegra Cremonese";3;6;0;0;0;;;;6;3;0;0;0;;;;3;9
"019001";"Acquanegra Cremonese";4;4;0;0;0;;;;4;6;0;0;0;;;;6;10
"019001";"Acquanegra Cremonese";5;1;0;0;0;;;;1;4;0;0;0;;;;4;5
"019001";"Acquanegra Cremonese";6;4;0;0;0;;;;4;7;0;0;0;;;;7;11
"019001";"Acquanegra Cremonese";7;2;0;0;0;;;;2;5;0;0;0;;;;5;7
"019001";"Acquanegra Cremonese";8;2;0;0;0;;;;2;3;0;0;0;;;;3;5
"019001";"Acquanegra Cremonese";9;6;0;0;0;;;;6;7;0;0;0;;;;7;13
"019001";"Acquanegra Cremonese";10;3;0;0;0;;;;3;3;0;0;0;;;;3;6
"019001";"Acquanegra Cremonese";11;4;0;0;0;;;;4;5;0;0;0;;;;5;9
"019001";"Acquanegra Cremonese";12;8;0;0;0;;;;8;4;0;0;0;;;;4;12
"019001";"Acquanegra Cremonese";13;3;0;0;0;;;;3;3;0;0;0;;;;3;6
"019001";"Acquanegra Cremonese";14;10;0;0;0;;;;10;5;0;0;0;;;;5;15
"019001";"Acquanegra Cremonese";15;3;0;0;0;;;;3;3;0;0;0;;;;3;6
"019001";"Acquanegra Cremonese";16;4;0;0;0;;;;4;8;0;0;0;;;;8;12
"019001";"Acquanegra Cremonese";17;12;0;0;0;;;;12;6;0;0;0;;;;6;18
"019001";"Acquanegra Cremonese";18;7;0;0;0;;;;7;8;0;0;0;;;;8;15
"019001";"Acquanegra Cremonese";19;3;0;0;0;;;;3;4;0;0;0;;;;4;7
"019001";"Acquanegra Cremonese";20;9;0;0;0;;;;9;2;0;0;0;;;;2;11
"019001";"Acquanegra Cremonese";21;6;0;0;0;;;;6;9;0;0;0;;;;9;15
"019001";"Acquanegra Cremonese";22;4;0;0;0;;;;4;3;0;0;0;;;;3;7
"019001";"Acquanegra Cremonese";23;8;0;0;0;;;;8;3;0;0;0;;;;3;11
"019001";"Acquanegra Cremonese";24;4;0;0;0;;;;4;11;0;0;0;;;;11;15
"019001";"Acquanegra Cremonese";25;7;0;0;0;;;;7;5;0;0;0;;;;5;12
"019001";"Acquanegra Cremonese";26;6;0;0;0;;;;6;8;1;0;0;;;;9;15
"019001";"Acquanegra Cremonese";27;5;0;0;0;;;;5;6;2;0;0;;;;8;13
"019001";"Acquanegra Cremonese";28;2;1;0;0;;;;3;3;0;0;0;;;;3;6
"019001";"Acquanegra Cremonese";29;4;0;0;0;;;;4;4;1;0;0;;;;5;9
"019001";"Acquanegra Cremonese";30;10;1;0;0;;;;11;4;7;0;0;;;;11;22
"019001";"Acquanegra Cremonese";31;3;0;0;0;;;;3;6;1;0;0;;;;7;10
"019001";"Acquanegra Cremonese";32;3;2;1;0;;;;6;1;4;0;0;;;;5;11
"019001";"Acquanegra Cremonese";33;1;0;0;0;;;;1;2;2;0;0;;;;4;5
"019001";"Acquanegra Cremonese";34;5;5;0;0;;;;10;1;5;0;0;;;;6;16
"019001";"Acquanegra Cremonese";35;2;1;0;0;;;;3;2;3;0;0;;;;5;8
"019001";"Acquanegra Cremonese";36;1;0;0;0;;;;1;2;5;0;0;;;;7;8
"019001";"Acquanegra Cremonese";37;0;5;0;0;;;;5;0;3;0;0;;;;3;8
"019001";"Acquanegra Cremonese";38;4;7;0;0;;;;11;2;2;0;0;;;;4;15
"019001";"Acquanegra Cremonese";39;2;2;0;0;;;;4;3;3;0;0;;;;6;10
"019001";"Acquanegra Cremonese";40;0;3;0;0;;;;3;1;3;0;0;;;;4;7
"019001";"Acquanegra Cremonese";41;3;6;0;0;;;;9;3;6;0;0;;;;9;18
"019001";"Acquanegra Cremonese";42;3;1;0;0;;;;4;2;4;0;0;;;;6;10
